index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
0,0.07,1.00753e-05,19.2158,11.1662,0.1,0.601799,0.1,-24034.730384
1,0.07,1.00753e-05,19.2158,11.1662,0.1,0.601799,0.1,-24034.730384
2,0.07,9.92218e-06,19.1199,11.4418,0.1,0.604716,0.1,-23860.964074
3,0.07,1.00635e-05,18.4854,11.7847,0.1,0.601668,0.1,-23436.762016
4,0.07,1.00635e-05,18.4854,11.7847,0.1,0.601668,0.1,-23436.762016
5,0.07,9.92577e-06,17.1846,12.0993,0.1,0.605791,0.1,-22854.997300
6,0.07,9.92577e-06,17.1846,12.0993,0.1,0.605791,0.1,-22854.997300
7,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
8,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
9,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
10,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
11,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
12,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
13,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
14,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
15,0.07,1.00683e-05,16.5722,12.4507,0.1,0.605011,0.1,-22502.642807
16,0.07,1.01372e-05,16.3919,12.4492,0.1,0.603967,0.1,-22473.159110
17,0.07,1.0197e-05,16.0732,12.2558,0.1,0.606736,0.1,-22465.706560
18,0.07,1.00934e-05,16.4618,12.3145,0.1,0.605216,0.1,-22450.333833
19,0.07,1.03757e-05,16.2646,12.0764,0.1,0.60567,0.1,-22397.338526
20,0.07,1.0334e-05,16.0267,12.0983,0.1,0.605784,0.1,-22393.689438
21,0.07,1.04776e-05,15.8395,11.6757,0.1,0.60961,0.1,-22357.362157
22,0.07,1.04776e-05,15.8395,11.6757,0.1,0.60961,0.1,-22357.362157
23,0.07,1.04776e-05,15.8395,11.6757,0.1,0.60961,0.1,-22357.362157
