index,time,S:NJ__all,I:NJ__all,obs_mean:NJ__FluTrends__inc,obs_real:NJ__FluTrends__inc
0,1,84087.5,2.91214,4.17951,2.8283
0,2,45985.7,14072.5,27398.3,29158
0,3,40964.6,13600.5,29058.2,27162.7
0,4,31261.3,13417.9,34643.7,28518.6
0,5,28553.8,12047.5,33831.4,30724.9
0,6,31872,10064.2,27330.1,29109.6
0,7,40553,6894.83,16813.6,15282.9
0,8,49785,3020.93,6754.1,6658.77
0,9,52143.6,1277.16,2851.94,3075.41
0,10,51141.5,821.829,1894.37,2115.09
0,11,49392.3,660.967,1581.02,1894.22
0,12,47916.1,495.046,1221.79,1221.25
0,13,46710.8,372.529,943.313,1191.9
0,14,45753.3,312.84,808.793,856.787
0,15,45058,280.352,736.626,684.552
0,16,44573.2,276.618,736.001,747.221
0,17,44146.7,259.455,697.173,513.842
0,18,43852.9,215.678,583.463,564.65
0,19,43906.4,192.66,523.108,421.8
0,20,44167.5,182.728,496.995,488.891
0,21,44443.3,169.323,460.794,414.712
0,22,44715.5,145.72,396.35,395.675
0,23,45154.5,131.54,357.116,406.949
0,24,45679.5,127.412,344.902,319.71
0,25,46169.8,131.699,355.198,364.436
0,26,46338.1,108.919,292.632,304.549
0,27,46644.9,98.6794,263.709,235.613
0,28,47036.8,105.01,278.713,214.634
0,29,47232.4,110.371,290.789,286.288
0,30,47260.9,109.221,285.483,326.427
0,31,47221,108.597,281.345,323.877
0,32,47148.8,127.616,327.398,398.9
0,33,46878.7,145.423,369.538,426.922
0,34,46433.7,178.469,449.471,404.313
0,35,45816.1,198.156,495.037,483.381
0,36,45043.8,232.38,576.629,623.347
0,37,44207.4,244.209,602.359,603.04
0,38,43126.5,301.221,740.845,627.353
0,39,41467.9,419.003,1034.86,900.141
0,40,39499.3,479.152,1193.88,1000.88
0,41,37469.5,484.358,1220.06,1381.54
0,42,35384.2,471.107,1202.08,964.034
0,43,33412.1,427.819,1105.59,1085.86
0,44,31814.2,348.574,909.36,748.562
0,45,30941.3,222.571,582.143,661.335
0,46,29839.3,269.515,710.457,790.218
0,47,28381.5,301.082,802.938,807.108
0,48,26959.1,270.917,729.937,627.72
0,49,25203.4,313.381,855.722,819.303
0,50,22885.9,329.729,912.105,912.396
0,51,20350.7,308.527,857.262,912.359
0,52,17901.1,295.471,814.477,944.819
0,53,15224.5,349.223,939.459,928.662
0,54,11755.7,320.552,792.624,743.601
0,55,12868.5,483.628,1247.36,994.496
0,56,2525.39,261.599,221.124,250.302
0,57,39901.9,18483.3,39285.8,42531.2
0,58,26515.3,13683.5,40119.7,44233
0,59,25967.7,10520.1,32441.2,34326.2
0,60,34134,6657.03,18210.5,19096.4
0,61,41111.4,2570.33,6506.6,5541.84
0,62,39834.3,1124.26,2916.29,3336.71
0,63,36870,701.578,1883.76,1768.96
0,64,34773.4,501.25,1372.99,1261.04
0,65,33869.5,338.226,933.372,1026.63
0,66,34134.8,275.234,761.056,756.261
0,67,34787.5,227.229,628.537,631.218
0,68,35586.3,179.638,496.684,565.681
0,69,36405.8,126.034,348.146,379.22
0,70,38352.9,132.337,364.643,410.212
0,71,39337.8,110.788,304.913,271.831
0,72,40694.9,111.909,307.363,374.136
