time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
1,80885.6,80899.6,80913.7,1826.5,1830.95,1835.4,2503.31,2505.34,2507.37
2,71166.2,77992.9,84819.5,-12316.3,2793.87,17904.1,-3071.76,2284.6,7640.96
3,65442.7,75406.6,85370.4,-10951.6,5737.49,22426.5,-3582.54,2104.6,7791.73
4,58700.5,71662.3,84624.1,-8166.38,7809.31,23785,-4434.12,2320.77,9075.67
5,51799.2,66693.8,81588.4,-6652.38,7157.35,20967.1,-4133.71,2449.36,9032.43
6,46391.1,61971.1,77551,-6914.13,4286.17,15486.5,-3329.95,1999.17,7328.28
7,42929.1,58381.6,73834.1,-5833.53,1690.57,9214.67,-1577.61,1711.64,5000.89
8,40653.3,55766.4,70879.4,-2443.63,810.193,4064.02,284.227,1608.98,2933.74
9,38887.5,53543.3,68199,-697.462,644.888,1987.24,894.747,1455.36,2015.97
10,37291.5,51394.2,65496.8,-189.129,649.735,1488.6,1142.44,1515.23,1888.03
11,35887.7,49459.6,63031.6,-65.7997,595.477,1256.75,1120.4,1431.68,1742.96
12,34832,47899,60966,46.8151,533.54,1020.27,1072.57,1313.53,1554.48
13,34183.6,46769.7,59355.8,159.449,519.315,879.181,1121.41,1307.85,1494.29
14,33844,45982.2,58120.4,229.779,526.649,823.518,1201.22,1361.3,1521.39
15,33770.1,45496.4,57222.8,314.609,575.965,837.322,1383.24,1529.18,1675.12
16,33668.9,45020.4,56371.8,339.566,592.919,846.272,1467.26,1613.03,1758.81
17,33576,44581.6,55587.2,300.29,533.888,767.487,1343.25,1481.42,1619.58
18,33873.8,44558.1,55242.3,311.558,503.018,694.478,1308.69,1424.64,1540.58
19,34393.2,44786,55178.8,324.369,493.64,662.911,1315.66,1419.8,1523.95
20,34886.7,45015.7,55144.6,309.354,468.752,628.151,1259.85,1358.89,1457.93
21,35318.9,45205.9,55092.8,262.579,409.651,556.724,1098.05,1190.01,1281.98
22,35932.1,45595,55257.8,242.144,368.696,495.247,995.042,1074.43,1153.81
23,36646.9,46104.5,55562,236.083,350.705,465.328,949.779,1021.5,1093.23
24,37338.7,46608,55877.4,240.743,352.364,463.986,952.053,1021.4,1090.74
25,37601,46696.6,55792.2,168.434,284.511,400.588,738.254,809.609,880.965
26,38037.9,46966.7,55895.5,150.039,247.141,344.243,639.002,698.152,757.302
27,38604.7,47377.8,56150.9,159.084,248.156,337.227,641.444,694.951,748.457
28,38960.6,47588.9,56217.1,149.928,245.683,341.438,619.912,676.354,732.796
29,39120.5,47610.6,56100.7,126.976,228.673,330.37,559.296,618.105,676.914
30,39208.4,47565.4,55922.4,110.901,212.715,314.53,507.834,565.617,623.399
