time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
31,39323,47551.9,55780.8,129.764,232.167,334.569,551.34,608.323,665.306
32,39228.9,47335.4,55441.9,125.499,246.749,368,569.579,635.567,701.554
33,39005.1,46992.3,54979.4,144.351,283.538,422.725,645.135,719.368,793.6
34,38561.8,46432.5,54303.2,125.542,297.255,468.968,655.002,744.86,834.718
35,38008.5,45764,53519.5,139.895,331.621,523.348,722.966,821.742,920.517
36,37318.3,44960.2,52602.1,108.322,334.037,559.753,707.62,822.346,937.072
37,36526.9,44055.6,51584.3,162.476,400.669,638.862,856.815,976.584,1096.35
38,35354.9,42771.4,50187.8,268.136,562.244,856.352,1215.15,1361.98,1508.8
39,33700.8,41004.9,48309,263.488,671.453,1079.42,1436.72,1640.98,1845.23
40,31820,39007.9,46195.8,259.27,723.451,1187.63,1555.68,1790.99,2026.3
41,29833.2,36899.2,43965.1,297.419,763.196,1228.97,1675.8,1916.2,2156.61
42,27866.8,34803.5,41740.3,308.68,757.112,1205.54,1697.85,1934.71,2171.57
43,26155.6,32955,39754.4,263.676,666.016,1068.36,1514.3,1732.27,1950.25
44,25009.9,31664.8,38319.6,117.683,441.926,766.168,980.418,1160.06,1339.7
45,24218.8,30726,37233.3,353.31,559.88,766.45,1375.36,1491.12,1606.87
46,23020.5,29385.8,35751,431.712,679.255,926.799,1698.74,1839.5,1980.25
47,21649.3,27869.9,34090.6,400.428,672.37,944.311,1700.92,1859.7,2018.47
48,20203.4,26274.1,32344.7,637.614,877.734,1117.85,2368.2,2512.7,2657.2
49,18109.2,24027.8,29946.3,830.229,1099.65,1369.07,3119.76,3288.73,3457.71
50,15668.5,21422,27175.6,988.618,1258.5,1528.38,3818.34,3998.23,4178.12
51,13348.8,18917.1,24485.5,1233.04,1469.06,1705.07,4872.4,5041.5,5210.61
52,11037.5,16399.2,21760.8,1936.93,2144.92,2352.92,7923.69,8084.36,8245.03
53,7615.21,12742.3,17869.4,2385.82,2604.83,2823.84,10640.4,10825.3,11010.1
54,9624.08,14435,19245.9,3446.51,3612.37,3778.23,16976,17132.1,17288.3
55,-1813.83,2780.94,7375.71,4095.64,4358.72,4621.79,20325,20569.5,20814.1
56,87284,89968.3,92652.6,2681.04,2731.5,2781.96,13406.6,13451.8,13497
57,67520.7,77639.3,87758,-11915.8,8840.96,29597.8,1977.77,9642.1,17306.4
58,53301.7,67302.9,81304.1,-4825.85,11220.6,27267.1,-229.168,7559.04,15347.3
59,42081.8,57330.7,72579.6,-4388.56,6989.05,18366.7,-470.305,5827.06,12124.4
60,34409.1,49390,64371,-4079.6,2866.15,9811.91,1310.2,4865.67,8421.13
61,29151.2,43535.7,57920.2,-880.459,1707.14,4294.74,2940.25,4215.12,5489.99
62,25624.1,39254.3,52884.6,359.599,1440.85,2522.1,3177.45,3749.66,4321.88
63,23666.5,36506.1,49345.6,634.399,1278.61,1922.83,3136.19,3506.16,3876.14
64,22946.2,35041.5,47136.9,546.761,987.82,1428.88,2560.58,2830.65,3100.72
65,23658.9,35087.2,46515.4,562.448,851.106,1139.76,2346.28,2530.49,2714.69
66,24696.3,35571.1,46445.9,495.141,726.425,957.708,2045.63,2196.17,2346.71
67,25790.8,36202.1,46613.4,398.785,588.175,777.564,1664.8,1789.47,1914.14
68,26814.8,36832.4,46850.1,272.141,421.319,570.496,1180.12,1279.06,1378
69,29124.6,38801.1,48477.7,319.82,424.731,529.642,1248,1317.95,1387.91
70,30305.7,39710.1,49114.6,245.94,357.009,468.078,1013.3,1086.47,1159.64
71,31908.9,41070.7,50232.5,260.063,353.471,446.88,1021.33,1082.85,1144.37
72,33155.4,42108.9,51062.4,249.738,344.527,439.316,986.217,1048.21,1110.2
