time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
61,20844.6,26502,32159.5,107.133,147.484,187.836,1405.87,1445.78,1485.7
62,22192.4,27754.6,33316.9,114.728,147.951,181.174,1471.84,1505.95,1540.06
63,23267.2,28748.6,34230.1,104.678,136.634,168.59,1389.77,1423.26,1456.76
64,24462.5,29872.4,35282.2,92.8669,120.023,147.179,1276.92,1306.56,1336.2
65,26040,31387,36734.1,92.7397,114.952,137.165,1276.94,1302.07,1327.2
66,27691.9,32985,38278.1,96.4867,116.857,137.228,1332.88,1356.42,1379.96
67,29367.9,34614.1,39860.4,108.367,128.091,147.815,1501.76,1525.05,1548.34
68,30689.2,35894.4,41099.5,111.126,131.542,151.957,1584.7,1609.39,1634.07
69,31820.2,36988.2,42156.2,96.6888,116.053,135.416,1453.8,1478.02,1502.24
70,33358.1,38492.1,43626.1,91.4699,107.468,123.467,1401.19,1421.8,1442.41
71,35049.9,40153.3,45256.8,91.4125,105.955,120.497,1398.62,1417.47,1436.33
72,36538.3,41614.2,46690.2,87.6059,102.024,116.442,1338.3,1356.88,1375.46
73,37797.6,42848.1,47898.6,76.3868,90.5377,104.689,1170.15,1188.15,1206.16
74,39111.2,44137.8,49164.4,70.6445,83.788,96.9314,1056.56,1072.91,1089.26
75,40353.9,45357.9,50362,70.2387,83.4024,96.566,1004.64,1020.39,1036.14
76,41368,46350.6,51333.2,74.2251,88.7485,103.272,1004.21,1020.7,1037.19
77,41850.4,46812,51773.7,58.1418,75.5808,93.0197,790.141,808.748,827.354
78,42346.4,47286.8,52227.3,53.2779,70.5512,87.8245,680.429,697.649,714.868
79,42750.3,47669.7,52589.1,58.0392,77.3593,96.6795,677.239,694.957,712.675
80,42849.2,47747.4,52645.6,57.6088,83.4192,109.23,655.077,676.579,698.082
81,42734.7,47611.1,52487.4,49.8159,84.2605,118.705,592.392,618.364,644.336
82,42511.4,47364.9,52218.3,41.3677,85.177,128.986,536.142,565.986,595.829
83,42172.5,47002.2,51831.8,45.136,101.699,158.262,574.395,609.138,643.881
84,41657.7,46462.9,51268.1,29.4997,115.726,201.953,588.698,636.507,684.315
85,40975.7,45755.4,50535.1,16.954,141.852,266.75,657.635,720.672,783.709
86,40173.4,44927.1,49680.8,-37.6911,153.805,345.301,657.115,746.129,835.143
87,39246.4,43973.4,48700.4,-78.432,178.8,436.033,712.289,823.33,934.371
88,38272.8,42973.4,47674,-178.326,181.099,540.524,677.561,823.802,970.044
89,37109.5,41784.2,46458.8,-206.416,227.88,662.177,811.859,978.733,1145.61
90,35464.6,40115.2,44765.8,-279.166,327.982,935.13,1138.43,1365.58,1592.74
91,33440.7,38074.1,42707.5,-489.994,378.18,1246.35,1317.62,1645.03,1972.45
92,31226.8,35844.8,40462.7,-540.697,399.999,1340.69,1434.39,1795.07,2155.76
93,28874.9,33472,38069,-466.433,414.411,1295.26,1569.69,1920.72,2271.76
94,26527,31094.4,35661.8,-360.806,397.462,1155.73,1617.53,1939.32,2261.1
95,24463.2,28990.1,33517.1,-251.633,334.167,919.967,1468.29,1736.07,2003.84
96,23110.8,27586.7,32062.6,-196.543,207.497,611.536,963.508,1161.58,1359.64
97,21604.7,26022.5,30440.3,50.1036,279.418,508.732,1379.66,1495.67,1611.68
98,19742.9,24101,28459,77.366,321.566,565.765,1708.9,1844.99,1981.07
99,17933.3,22226.7,26520.2,80.1512,286.646,493.141,1734.17,1864.27,1994.37
100,15953.3,20175.2,24397.1,213.652,348.716,483.78,2423.31,2520.12,2616.93
101,13639.3,17786.6,21934,271.954,381.499,491.044,3204.49,3298.2,3391.91
102,11718.1,15782,19846,293.935,366.918,439.901,3931.51,4009.65,4087.8
103,11207.6,15180.6,19153.7,328.068,373.513,418.958,4998.82,5058.33,5117.84
104,11145.3,15031.2,18917.1,509.82,549.094,588.369,8067.02,8122.6,8178.18
105,6956.14,10761.4,14566.7,631.116,682.178,733.241,10814.9,10891.7,10968.6
106,14421.3,18102.5,21783.7,623.315,646.621,669.928,17183.5,17238.3,17293.2
107,-2793.19,837.699,4468.59,1509.69,1604.36,1699.03,20642.4,20758.9,20875.3
108,279968,281260,282552,326.62,331.751,336.883,13527.4,13535.5,13543.7
109,-799.929,178.688,1157.31,-3669.38,2756.76,9182.9,223456,224757,226059
110,74938.5,75335.1,75731.7,1381.1,1399.59,1418.08,6888.67,6892.29,6895.91
111,56930.4,67610,78289.6,-6008.48,15001.2,36010.8,-2359.02,6181.05,14721.1
112,39447.3,53307.9,67168.4,2866.95,7491.43,12115.9,-645.654,7845.53,16336.7
113,30879.1,44777.4,58675.6,-2754.67,2956.21,8667.1,-391.188,4542.77,9476.72
114,25971.7,39048.7,52125.7,-2627.28,717.054,4061.38,1859.09,3778.32,5697.54
115,22839.4,35343.3,47847.2,-94.9552,518.353,1131.66,3165.55,3515.82,3866.09
116,23006.3,34782.3,46558.2,139.217,360.668,582.12,2666.12,2835.71,3005.29
117,25292.2,36517.5,47742.8,178.144,292.819,407.493,2435.84,2535.68,2635.52
118,27771.6,38581.8,49392.1,160.998,249.817,338.636,2122.04,2201.18,2280.32
119,29971.8,40452.4,50933.1,127.114,200.932,274.751,1726.97,1793.64,1860.32
120,31997.3,42204.6,52411.9,83.5777,140.118,196.658,1229.35,1281.66,1333.97
121,35718.3,45692.8,55667.4,104.279,141.869,179.459,1286,1321.71,1357.41
122,37837.4,47631.9,57426.5,80.0582,121.624,163.189,1051.24,1089.1,1126.97
123,40437.2,50071.4,59705.6,85.4269,120.225,155.023,1053.78,1085.84,1117.89
124,42604.3,52101.8,61599.2,82.9339,118.361,153.788,1018.94,1051.02,1083.11
