index,time,S:NJ__all,I:NJ__all,obs_mean:NJ__FluTrends__inc,obs_real:NJ__FluTrends__inc
0,53,23109.1,95.688,732.927,724.485
0,54,21873.8,64.8255,561.496,526.625
0,55,21417.3,39.6901,369.389,293.161
0,56,21959.6,33.8635,317.952,359.242
0,57,22653.2,32.4484,306.584,332.717
0,58,23186.4,30.4902,294.976,326.219
0,59,23578.2,23.2472,233.665,247.806
0,60,24461.3,20.3479,207.723,218.297
0,61,25445.6,18.7317,194.478,164.246
0,62,26315.9,15.4251,164.841,189.913
0,63,27572,14.9,161.712,151.325
0,64,28590.3,12.682,142.037,129.762
0,65,29742.5,10.3271,119.034,131.741
0,66,31266.9,9.4658,110.925,110.177
0,67,32866,9.21008,109.677,110.177
0,68,34485.8,9.65188,116.788,133.977
0,69,35768.7,9.22422,114.436,125.179
0,70,36885.2,7.54957,96.0236,108.841
0,71,38399.8,6.80164,87.1045,76.9768
0,72,40062.4,6.72332,85.695,105.682
0,73,41526.5,6.55363,82.7877,82.4819
0,74,42770.6,5.97271,74.3397,72.0917
0,75,44063.8,5.89765,71.2931,72.0448
0,76,45278.9,6.47459,75.0644,76.0746
0,77,46257.9,7.79034,85.7979,96.2247
0,78,46728,7.54264,78.7276,72.7824
0,79,47199.5,8.3418,81.2453,90.1569
0,80,47558.2,11.187,100.485,112.814
0,81,47607.5,14.935,123.238,138.232
0,82,47446.5,18.9357,142.953,144.856
0,83,47169.2,24.4154,167.915,174.785
0,84,46723.3,37.427,234.577,232.859
0,85,46087.1,54.4249,312.294,305.146
0,86,45214,83.9184,444.92,471.495
0,87,44245.4,112.975,557.337,547.326
0,88,43067.4,158.49,737.048,576.236
0,89,41936.1,191.068,842.289,784.326
0,90,40362.4,268.449,1150.12,1302.31
0,91,38054,382.793,1662.19,1780.5
0,92,35801.1,409.403,1832.05,1922.92
0,93,33633.8,381.126,1782.83,1845.93
0,94,31448.2,327.885,1633.62,1770.58
0,95,29415.9,253.538,1357.94,1294.72
0,96,27757.1,175.304,1001.94,1057.22
0,97,26878,99.2565,582.727,631.513
0,98,25185.6,107.24,685.59,711.606
0,99,23302.6,91.4325,655.151,718.088
0,100,21641.5,60.5553,485.103,384.946
0,101,19610,50.5847,469.475,363.623
0,102,17321.4,35.3717,390.04,347.323
0,103,15436.3,23.1912,294.858,290.104
0,104,14860.1,20.5251,274.8,249.749
0,105,14574.4,27.6398,383.84,354.062
0,106,10446.5,15.3559,271.27,246.845
0,107,17391.9,48.2398,586.216,590.088
0,108,823.677,6.26504,32.641,36.4639
0,109,92.7705,2553.32,224945,228437
0,110,191.857,9.63927,11.0258,9.17988
0,111,20260.2,7234.46,44071.1,42056.8
0,112,11281.1,1810.4,45079.5,49917.7
0,113,21618.6,2241.86,25366,24146.2
0,114,32542.1,1383.6,9801.73,9809.28
0,115,36842.7,260.044,1778.24,1650.61
0,116,34289.8,100.092,856.883,768.271
0,117,34174.2,52.9006,500.647,477.298
0,118,36041.1,41.0907,394.882,423.611
0,119,38184.5,34.1695,331.164,372.514
0,120,40146.4,26.1398,257.755,240.479
0,121,42004.1,17.1943,172.924,177.658
0,122,45477.5,18.9337,183.987,160.172
0,123,47453.3,15.7477,154.285,167.631
0,124,49891.9,15.9903,154.452,152.387
