"date","France__Sentinelles__inc"
8/21/95,14298
8/28/95,12847
9/5/95,15328
9/11/95,12749
9/18/95,15202
9/25/95,14735
10/2/95,13932
10/9/95,15561
10/16/95,13414
10/23/95,11012
10/30/95,10392
11/6/95,13488
11/13/95,17791
11/20/95,12735
11/27/95,12375
12/4/95,11966
12/11/95,11159
12/18/95,13339
12/26/95,5069
1/2/96,11553
1/8/96,12326
1/15/96,10636
1/22/96,11715
1/29/96,10149
2/5/96,11772
2/12/96,15247
2/20/96,12479
2/26/96,8821
3/4/96,11255
3/11/96,15105
3/18/96,16145
3/25/96,15300
4/1/96,12613
4/8/96,16536
4/15/96,13033
4/22/96,14871
4/29/96,13584
5/6/96,16589
5/13/96,14912
5/20/96,14808
5/28/96,14442
6/3/96,15019
6/10/96,17957
6/17/96,15510
6/24/96,12046
7/1/96,12883
7/8/96,14675
7/15/96,14580
7/22/96,17631
7/29/96,22232
8/5/96,14989
8/12/96,9329
8/19/96,12361
8/26/96,11777
9/3/96,11655
9/9/96,15436
9/16/96,15641
9/23/96,14109
9/30/96,17805
10/7/96,10580
10/14/96,9491
10/21/96,13995
10/28/96,11982
11/4/96,11054
11/11/96,11205
11/18/96,11784
11/25/96,9473
12/2/96,10150
12/9/96,8069
12/16/96,9557
12/23/96,6407
12/30/96,6744
1/6/97,8643
1/13/97,11630
1/20/97,10931
1/27/97,12205
2/3/97,10595
2/10/97,9441
2/18/97,10590
2/24/97,11065
3/3/97,14164
3/10/97,12809
3/17/97,14202
3/24/97,11714
3/31/97,12129
4/7/97,13638
4/14/97,11738
4/21/97,15066
4/28/97,14055
5/5/97,19675
5/12/97,20241
5/19/97,18847
5/27/97,16497
6/2/97,18042
6/9/97,11080
6/16/97,16734
6/23/97,19416
6/30/97,15139
7/7/97,20785
7/14/97,11756
7/21/97,17131
7/28/97,19425
8/4/97,21018
8/11/97,16072
8/18/97,12612
8/25/97,20360
9/2/97,14911
9/8/97,9975
9/15/97,10003
9/22/97,8095
9/29/97,13313
10/6/97,11542
10/13/97,12208
10/20/97,11048
10/27/97,9940
11/3/97,10988
11/10/97,7898
11/17/97,11603
11/24/97,13225
12/1/97,15467
12/8/97,15315
12/15/97,13557
12/22/97,8621
12/29/97,7588
1/5/98,16892
1/12/98,12343
1/20/98,12763
1/26/98,10044
2/2/98,9747
2/9/98,11012
2/17/98,8446
2/23/98,13670
3/2/98,12318
3/9/98,11586
3/16/98,10819
3/23/98,6997
3/30/98,11894
4/6/98,10749
4/13/98,9909
4/20/98,12646
4/27/98,14812
5/4/98,16303
5/11/98,19103
5/18/98,14428
5/26/98,15094
6/1/98,16101
6/8/98,19212
6/15/98,15730
6/22/98,16244
6/29/98,13318
7/6/98,9526
7/13/98,13270
7/20/98,14519
7/27/98,15481
8/3/98,21391
8/10/98,19727
8/17/98,17151
8/24/98,16375
8/31/98,8842
9/8/98,11273
9/14/98,12503
9/21/98,10726
9/28/98,12456
10/5/98,12686
10/12/98,11124
10/19/98,12331
10/26/98,9959
11/2/98,9234
11/9/98,15226
11/16/98,10936
11/23/98,11740
11/30/98,10455
12/7/98,10846
12/14/98,8130
12/21/98,5364
12/28/98,5331
1/4/99,10232
1/11/99,9651
1/19/99,11924
1/25/99,8367
2/1/99,13913
2/8/99,8811
2/16/99,7368
2/22/99,12820
3/1/99,9011
3/8/99,14465
3/15/99,9416
3/22/99,11691
3/29/99,10918
4/5/99,10092
4/12/99,15529
4/19/99,14623
4/26/99,12338
5/3/99,11218
5/10/99,13480
5/17/99,17061
5/24/99,14651
6/1/99,16489
6/7/99,19094
6/14/99,17837
6/21/99,14472
6/28/99,16098
7/6/99,14468
7/12/99,8074
7/19/99,11942
7/26/99,18834
8/2/99,17624
8/9/99,16718
8/16/99,14523
8/23/99,11927
8/30/99,10775
9/7/99,13494
9/13/99,10394
9/20/99,13835
9/27/99,10604
10/4/99,18158
10/11/99,11029
10/18/99,14317
10/25/99,9865
11/1/99,8957
11/8/99,13000
11/15/99,4231
