"date","France__Sentinelles__inc"
"1993-07-19",20371
"1993-07-26",18999
"1993-08-02",19065
"1993-08-09",16744
"1993-08-16",18924
"1993-08-23",17554
"1993-08-30",14943
"1993-09-07",17322
"1993-09-13",17762
"1993-09-20",14666
"1993-09-27",11602
"1993-10-04",15874
"1993-10-11",11394
"1993-10-18",12921
"1993-10-25",10001
"1993-11-01",13784
"1993-11-08",15334
"1993-11-15",14301
"1993-11-22",12233
"1993-11-29",12164
"1993-12-06",13782
"1993-12-13",11172
"1993-12-20",10597
"1993-12-27",10874
"1994-01-03",13319
"1994-01-10",16695
"1994-01-17",13862
"1994-01-24",16976
"1994-01-31",13990
"1994-02-07",12739
"1994-02-14",11282
"1994-02-22",15410
"1994-02-28",13007
"1994-03-07",14933
"1994-03-14",13574
"1994-03-21",13742
"1994-03-28",16017
"1994-04-04",17834
"1994-04-11",24816
"1994-04-18",20085
"1994-04-25",22384
"1994-05-02",22127
"1994-05-09",15678
"1994-05-16",21907
"1994-05-23",24017
"1994-05-31",18345
"1994-06-06",17683
"1994-06-13",31227
"1994-06-20",22359
"1994-06-27",18068
"1994-07-05",17649
"1994-07-11",10960
"1994-07-18",20214
"1994-07-25",19751
"1994-08-01",19714
"1994-08-08",17910
"1994-08-15",17623
"1994-08-22",18989
"1994-08-29",18781
"1994-09-06",14796
"1994-09-12",13627
"1994-09-19",11121
"1994-09-26",13122
"1994-10-03",16369
"1994-10-10",13203
"1994-10-17",16310
"1994-10-24",11888
"1994-10-31",12291
"1994-11-07",14654
"1994-11-14",17189
"1994-11-21",15118
"1994-11-28",15155
"1994-12-05",17462
"1994-12-12",14624
"1994-12-19",15629
"1994-12-27",9731
"1995-01-03",12762
"1995-01-09",14758
"1995-01-16",11989
"1995-01-23",15398
"1995-01-30",14118
"1995-02-06",14513
"1995-02-13",10126
"1995-02-21",13043
"1995-02-27",14160
"1995-03-06",17443
"1995-03-13",18282
"1995-03-20",16684
"1995-03-27",16146
"1995-04-03",14567
"1995-04-10",15096
"1995-04-17",14353
"1995-04-24",20295
"1995-05-01",19098
"1995-05-08",21154
"1995-05-15",16991
"1995-05-22",16512
"1995-05-30",17519
"1995-06-05",18241
"1995-06-12",23677
"1995-06-19",19195
"1995-06-26",17084
"1995-07-03",16560
"1995-07-10",14700
"1995-07-17",16504
"1995-07-24",15051
"1995-07-31",15271
"1995-08-07",15954
"1995-08-14",14150
"1995-08-21",14298
"1995-08-28",12847
"1995-09-05",15328
"1995-09-11",12749
"1995-09-18",15202
"1995-09-25",14735
"1995-10-02",13932
"1995-10-09",15561
"1995-10-16",13414
