"date","Paris__Sentinelles__inc"
"1996-09-03",843
"1996-09-09",700
"1996-09-16",250
"1996-09-23",667
"1996-09-30",243
"1996-10-07",654
"1996-10-14",1258
"1996-10-21",1097
"1996-10-28",635
"1996-11-04",1324
"1996-11-11",951
"1996-11-18",1107
"1996-11-25",1345
"1996-12-02",1169
"1996-12-09",1915
"1996-12-16",1925
"1996-12-23",2083
"1996-12-30",2942
"1997-01-06",3533
"1997-01-13",2164
"1997-01-20",2288
"1997-01-27",2855
"1997-02-03",2807
"1997-02-10",3068
"1997-02-18",2696
"1997-02-24",2312
"1997-03-03",1140
"1997-03-10",1688
"1997-03-17",2689
"1997-03-24",5153
"1997-03-31",2890
"1997-04-07",2146
"1997-04-14",2005
"1997-04-21",1382
"1997-04-28",1499
"1997-05-05",1680
"1997-05-12",3667
"1997-05-19",2138
"1997-05-27",3280
"1997-06-02",3648
"1997-06-09",5205
"1997-06-16",2154
"1997-06-23",3598
"1997-06-30",1872
"1997-07-07",838
"1997-07-14",1077
"1997-07-21",1793
"1997-07-28",1303
"1997-08-04",2341
"1997-08-11",3698
"1997-08-18",134
"1997-08-25",0
"1997-09-02",844
"1997-09-08",378
"1997-09-15",0
"1997-09-22",830
"1997-09-29",750
"1997-10-06",221
"1997-10-13",281
"1997-10-20",238
"1997-10-27",56
"1997-11-03",278
"1997-11-10",556
"1997-11-17",1958
"1997-11-24",840
"1997-12-01",905
"1997-12-08",2020
"1997-12-15",1934
"1997-12-22",2460
"1997-12-29",2711
"1998-01-05",1784
"1998-01-12",389
"1998-01-20",1127
"1998-01-26",766
"1998-02-02",1596
"1998-02-09",2235
"1998-02-17",816
"1998-02-23",1639
"1998-03-02",471
"1998-03-09",3432
"1998-03-16",1798
"1998-03-23",1577
"1998-03-30",6752
"1998-04-06",6151
"1998-04-13",1019
"1998-04-20",1755
"1998-04-27",998
"1998-05-04",1207
"1998-05-11",1949
"1998-05-18",967
"1998-05-26",504
"1998-06-01",559
"1998-06-08",1420
"1998-06-15",3363
"1998-06-22",2568
"1998-06-29",3987
"1998-07-06",2213
"1998-07-13",2272
"1998-07-20",1708
"1998-07-27",2202
"1998-08-03",1681
"1998-08-10",291
"1998-08-17",187
"1998-08-24",658
"1998-08-31",916
"1998-09-08",1156
"1998-09-14",476
"1998-09-21",1072
"1998-09-28",1092
"1998-10-05",312
"1998-10-12",1202
"1998-10-19",410
"1998-10-26",1953
"1998-11-02",2516
"1998-11-09",663
"1998-11-16",827
"1998-11-23",2509
"1998-11-30",2262
"1998-12-07",2603
"1998-12-14",1375
"1998-12-21",1864
"1998-12-28",2211
"1999-01-04",2058
"1999-01-11",2359
"1999-01-19",4761
"1999-01-25",4241
"1999-02-01",17427
"1999-02-08",4344
"1999-02-16",2321
"1999-02-22",1271
"1999-03-01",3569
"1999-03-08",1660
"1999-03-15",820
"1999-03-22",1283
"1999-03-29",2158
"1999-04-05",3968
"1999-04-12",1794
"1999-04-19",1817
"1999-04-26",761
"1999-05-03",834
"1999-05-10",1874
"1999-05-17",1116
"1999-05-24",1743
"1999-06-01",1739
"1999-06-07",1505
"1999-06-14",1094
"1999-06-21",2903
"1999-06-28",2568
"1999-07-06",3179
"1999-07-12",1890
"1999-07-19",377
"1999-07-26",6434
"1999-08-02",722
"1999-08-09",2507
"1999-08-16",845
"1999-08-23",266
"1999-08-30",0
"1999-09-07",0
"1999-09-13",466
"1999-09-20",282
"1999-09-27",304
"1999-10-04",778
"1999-10-11",1029
"1999-10-18",1004
"1999-10-25",1512
"1999-11-01",1342
"1999-11-08",1974
"1999-11-15",615
"1999-11-22",828
"1999-11-29",502
"1999-12-06",970
"1999-12-13",720
"1999-12-20",788
"1999-12-27",1155
"2000-01-03",560
"2000-01-10",697
"2000-01-18",1213
"2000-01-24",2574
"2000-01-31",2045
"2000-02-07",303
"2000-02-14",1413
"2000-02-22",1520
"2000-02-28",1067
"2000-03-06",3583
"2000-03-13",4233
"2000-03-20",2755
"2000-03-27",3710
"2000-04-03",1494
"2000-04-10",1628
"2000-04-17",1996
"2000-04-24",1523
"2000-05-01",3443
"2000-05-08",1705
"2000-05-15",1513
"2000-05-22",2291
"2000-05-30",841
"2000-06-05",1968
"2000-06-12",3679
"2000-06-19",1742
"2000-06-26",1657
"2000-07-03",1912
"2000-07-10",363
"2000-07-17",853
"2000-07-24",555
"2000-07-31",426
"2000-08-07",338
"2000-08-14",1577
"2000-08-21",0
"2000-08-28",0
"2000-09-05",0
"2000-09-11",0
"2000-09-18",589
"2000-09-25",36
"2000-10-02",0
"2000-10-09",0
"2000-10-16",27
"2000-10-23",1114
"2000-10-30",1327
"2000-11-06",808
"2000-11-13",538
"2000-11-20",764
"2000-11-27",1071
"2000-12-04",1905
"2000-12-11",1705
"2000-12-18",2184
"2000-12-26",1088
"2001-01-02",1579
"2001-01-08",3701
"2001-01-16",1061
"2001-01-22",882
"2001-01-29",1324
"2001-02-05",2528
"2001-02-12",1604
"2001-02-20",326
"2001-02-26",1543
"2001-03-05",1106
"2001-03-12",1763
"2001-03-19",1153
"2001-03-26",1705
"2001-04-02",1359
"2001-04-09",850
"2001-04-16",1327
"2001-04-23",2296
"2001-04-30",1188
"2001-05-07",1479
"2001-05-14",1937
"2001-05-21",308
"2001-05-29",591
"2001-06-04",934
"2001-06-11",931
"2001-06-18",1261
"2001-06-25",681
"2001-07-02",829
"2001-07-09",490
"2001-07-16",0
"2001-07-23",712
"2001-07-30",277
"2001-08-06",506
"2001-08-13",0
"2001-08-20",0
"2001-08-27",0
"2001-09-04",0
"2001-09-10",0
"2001-09-24",0
"2001-10-01",0
"2001-10-08",121
"2001-10-15",62
"2001-10-22",1192
"2001-10-29",731
"2001-11-05",132
"2001-11-12",1072
"2001-11-19",592
"2001-11-26",579
"2001-12-03",1575
"2001-12-10",266
"2001-12-17",1293
"2001-12-24",608
"2001-12-31",796
"2002-01-07",757
"2002-01-14",2002
"2002-01-22",327
"2002-01-28",1892
"2002-02-04",655
"2002-02-11",651
"2002-02-19",356
"2002-02-25",833
"2002-03-04",1177
"2002-03-11",1737
"2002-03-18",495
"2002-03-25",996
"2002-04-01",1590
"2002-04-08",1938
"2002-04-15",1929
"2002-04-22",1778
"2002-04-29",1376
"2002-05-06",1490
"2002-05-13",678
"2002-05-20",2236
"2002-05-28",372
"2002-06-03",1873
"2002-06-10",2120
"2002-06-17",2490
"2002-06-24",1735
"2002-07-01",0
"2002-07-08",0
"2002-07-15",0
"2002-07-22",583
"2002-07-29",823
"2002-08-05",72
"2002-08-12",251
"2002-08-19",0
"2002-08-26",585
"2002-09-03",289
"2002-09-09",267
"2002-09-16",48
"2002-09-23",249
"2002-09-30",249
"2002-10-07",38
"2002-10-14",0
"2002-10-21",659
"2002-10-28",734
"2002-11-04",750
"2002-11-11",774
"2002-11-18",554
"2002-11-25",417
"2002-12-02",523
"2002-12-09",1136
"2002-12-16",2318
"2002-12-23",3368
"2002-12-30",5041
"2003-01-06",790
"2003-01-13",1316
"2003-01-21",2010
"2003-01-27",2515
"2003-02-03",1438
"2003-02-10",3726
"2003-02-18",3822
"2003-02-24",4052
"2003-03-03",1484
"2003-03-10",1013
"2003-03-17",1961
"2003-03-24",2232
"2003-03-31",2294
"2003-04-07",1354
"2003-04-14",2714
"2003-04-21",1057
"2003-04-28",3183
"2003-05-05",627
"2003-05-12",723
"2003-05-19",455
"2003-05-27",1212
"2003-06-02",551
"2003-06-09",1312
"2003-06-16",420
"2003-06-23",146
"2003-06-30",1366
"2003-07-07",140
"2003-07-14",0
"2003-07-21",0
"2003-07-28",0
"2003-08-04",0
"2003-08-11",86
"2003-08-18",475
"2003-08-25",0
"2003-09-02",0
"2003-09-08",0
"2003-09-15",156
"2003-09-22",182
"2003-09-29",57
"2003-10-06",495
"2003-10-13",28
"2003-10-20",191
"2003-10-27",14462
"2003-11-03",541
"2003-11-10",128
"2003-11-17",288
"2003-11-24",392
"2003-12-01",599
"2003-12-08",1169
"2003-12-15",770
"2003-12-22",940
"2003-12-29",382
"2004-01-05",1958
"2004-01-12",683
"2004-01-20",588
"2004-01-26",1807
"2004-02-02",1334
"2004-02-09",2403
"2004-02-17",3091
"2004-02-23",1992
"2004-03-01",3976
"2004-03-08",2792
"2004-03-15",2186
"2004-03-22",1897
"2004-03-29",4633
"2004-04-05",3166
"2004-04-12",4300
"2004-04-19",1479
"2004-04-26",3796
"2004-05-03",1278
"2004-05-10",1634
"2004-05-17",952
"2004-05-24",1336
"2004-06-01",3818
"2004-06-07",4944
"2004-06-14",4678
"2004-06-21",5852
"2004-06-28",2980
"2004-07-06",3398
"2004-07-12",3407
"2004-07-19",5257
"2004-07-26",3150
"2004-08-02",2919
"2004-08-09",1174
"2004-08-16",1211
"2004-08-23",1067
"2004-08-30",1012
"2004-09-07",557
"2004-09-13",126
"2004-09-20",158
"2004-09-27",728
"2004-10-04",328
"2004-10-11",20
"2004-10-18",156
"2004-10-25",348
"2004-11-01",1189
"2004-11-08",837
"2004-11-15",1378
"2004-11-22",1717
"2004-11-29",656
"2004-12-06",280
"2004-12-13",991
