"date","NJ__all"
"1903-09-28",0.00027
"1903-10-05",0.00027
"1903-10-12",0.00027
"1903-10-19",0.00027
"1903-10-26",0.00027
"1903-11-02",0.00027
"1903-11-09",0.00027
"1903-11-16",0.00027
"1903-11-23",0.00027
"1903-11-30",0.00027
"1903-12-07",0.00027
"1903-12-14",0.00027
"1903-12-21",0.00027
"1903-12-28",0.00027
"1904-01-04",0.00027
"1904-01-11",0.00027
"1904-01-18",0.00027
"1904-01-25",0.00027
"1904-02-01",0.00027
"1904-02-08",0.00027
"1904-02-15",0.00027
"1904-02-22",0.00027
"1904-02-29",0.00027
"1904-03-07",0.00027
"1904-03-14",0.00027
"1904-03-21",0.00027
"1904-03-28",0.00027
"1904-04-04",0.00027
"1904-04-11",0.00027
"1904-04-18",0.00027
"1904-04-25",0.00027
"1904-05-02",0.00027
"1904-05-09",0.00027
"1904-05-16",0.00027
"1904-05-23",0.00027
"1904-05-30",0.00027
"1904-06-06",0.00027
"1904-06-13",0.00027
"1904-06-20",0.00027
"1904-06-27",0.00027
"1904-07-04",0.00027
"1904-07-11",0.00027
"1904-07-18",0.00027
"1904-07-25",0.00027
"1904-08-01",0.00027
"1904-08-08",0.00027
"1904-08-15",0.00027
"1904-08-22",0.00027
"1904-08-29",0.00027
"1904-09-05",0.00027
"1904-09-12",0.00027
"1904-09-19",0.00027
"1904-09-26",0.00027
"1904-10-03",0.00027
"1904-10-10",0.00027
"1904-10-17",0.00027
"1904-10-24",0.00027
"1904-10-31",0.00027
"1904-11-07",0.00027
"1904-11-14",0.00027
"1904-11-21",0.00027
"1904-11-28",0.00027
"1904-12-05",0.00027
"1904-12-12",0.00027
"1904-12-19",0.00027
"1904-12-26",0.00027
"1905-01-02",0.00027
"1905-01-09",0.00027
"1905-01-16",0.00027
"1905-01-23",0.00027
"1905-01-30",0.00027
"1905-02-06",0.00027
"1905-02-13",0.00027
"1905-02-20",0.00027
"1905-02-27",0.00027
"1905-03-06",0.00027
"1905-03-13",0.00027
"1905-03-20",0.00027
"1905-03-27",0.00027
"1905-04-03",0.00027
"1905-04-10",0.00027
"1905-04-17",0.00027
"1905-04-24",0.00027
"1905-05-01",0.00027
"1905-05-08",0.00027
"1905-05-15",0.00027
"1905-05-22",0.00027
"1905-05-29",0.00027
"1905-06-05",0.00027
"1905-06-12",0.00027
"1905-06-19",0.00027
"1905-06-26",0.00027
"1905-07-03",0.00027
"1905-07-10",0.00027
"1905-07-17",0.00027
"1905-07-24",0.00027
"1905-07-31",0.00027
"1905-08-07",0.00027
"1905-08-14",0.00027
"1905-08-21",0.00027
"1905-08-28",0.00027
"1905-09-04",0.00027
"1905-09-11",0.00027
"1905-09-18",0.00027
"1905-09-25",0.00027
"1905-10-02",0.00027
"1905-10-09",0.00027
"1905-10-16",0.00027
"1905-10-23",0.00027
"1905-10-30",0.00027
"1905-11-06",0.00027
"1905-11-13",0.00027
"1905-11-20",0.00027
"1905-11-27",0.00027
"1905-12-04",0.00027
"1905-12-11",0.00027
"1905-12-18",0.00027
"1905-12-25",0.00027
"1906-01-01",0.00027
"1906-01-08",0.00027
"1906-01-15",0.00027
"1906-01-22",0.00027
"1906-01-29",0.00027
"1906-02-05",0.00027
"1906-02-12",0.00027
"1906-02-19",0.00027
"1906-02-26",0.00027
"1906-03-05",0.00027
"1906-03-12",0.00027
"1906-03-19",0.00027
"1906-03-26",0.00027
"1906-04-02",0.00027
"1906-04-09",0.00027
"1906-04-16",0.00027
"1906-04-23",0.00027
"1906-04-30",0.00027
"1906-05-07",0.00027
"1906-05-14",0.00027
"1906-05-21",0.00027
"1906-05-28",0.00027
"1906-06-04",0.00027
"1906-06-11",0.00027
"1906-06-18",0.00027
"1906-06-25",0.00027
"1906-07-02",0.00027
"1906-07-09",0.00027
"1906-07-16",0.00027
"1906-07-23",0.00027
"1906-07-30",0.00027
"1906-08-06",0.00027
"1906-08-13",0.00027
"1906-08-20",0.00027
"1906-08-27",0.00027
"1906-09-03",0.00027
"1906-09-10",0.00027
"1906-09-17",0.00027
"1906-09-24",0.00027
"1906-10-01",0.00027
"1906-10-08",0.00027
"1906-10-15",0.00027
"1906-10-22",0.00027
"1906-10-29",0.00027
"1906-11-05",0.00027
"1906-11-12",0.00027
"1906-11-19",0.00027
"1906-11-26",0.00027
"1906-12-03",0.00027
"1906-12-10",0.00027
"1906-12-17",0.00027
"1906-12-24",0.00027
"1906-12-31",0.00027
"1907-01-07",0.00027
"1907-01-14",0.00027
"1907-01-21",0.00027
"1907-01-28",0.00027
"1907-02-04",0.00027
"1907-02-11",0.00027
"1907-02-18",0.00027
"1907-02-25",0.00027
"1907-03-04",0.00027
"1907-03-11",0.00027
"1907-03-18",0.00027
"1907-03-25",0.00027
"1907-04-01",0.00027
"1907-04-08",0.00027
"1907-04-15",0.00027
"1907-04-22",0.00027
"1907-04-29",0.00027
"1907-05-06",0.00027
"1907-05-13",0.00027
"1907-05-20",0.00027
"1907-05-27",0.00027
"1907-06-03",0.00027
"1907-06-10",0.00027
"1907-06-17",0.00027
"1907-06-24",0.00027
"1907-07-01",0.00027
"1907-07-08",0.00027
"1907-07-15",0.00027
"1907-07-22",0.00027
"1907-07-29",0.00027
"1907-08-05",0.00027
"1907-08-12",0.00027
"1907-08-19",0.00027
"1907-08-26",0.00027
"1907-09-02",0.00027
"1907-09-09",0.00027
"1907-09-16",0.00027
"1907-09-23",0.00027
"1907-09-30",0.00027
"1907-10-07",0.00027
"1907-10-14",0.00027
"1907-10-21",0.00027
"1907-10-28",0.00027
"1907-11-04",0.00027
"1907-11-11",0.00027
"1907-11-18",0.00027
"1907-11-25",0.00027
"1907-12-02",0.00027
"1907-12-09",0.00027
"1907-12-16",0.00027
"1907-12-23",0.00027
"1907-12-30",0.00027
"1908-01-06",0.00027
"1908-01-13",0.00027
"1908-01-20",0.00027
"1908-01-27",0.00027
"1908-02-03",0.00027
"1908-02-10",0.00027
"1908-02-17",0.00027
"1908-02-24",0.00027
"1908-03-02",0.00027
"1908-03-09",0.00027
"1908-03-16",0.00027
"1908-03-23",0.00027
"1908-03-30",0.00027
"1908-04-06",0.00027
"1908-04-13",0.00027
"1908-04-20",0.00027
"1908-04-27",0.00027
"1908-05-04",0.00027
"1908-05-11",0.00027
"1908-05-18",0.00027
"1908-05-25",0.00027
"1908-06-01",0.00027
"1908-06-08",0.00027
"1908-06-15",0.00027
"1908-06-22",0.00027
"1908-06-29",0.00027
"1908-07-06",0.00027
"1908-07-13",0.00027
"1908-07-20",0.00027
"1908-07-27",0.00027
"1908-08-03",0.00027
"1908-08-10",0.00027
"1908-08-17",0.00027
"1908-08-24",0.00027
"1908-08-31",0.00027
"1908-09-07",0.00027
"1908-09-14",0.00027
"1908-09-21",0.00027
"1908-09-28",0.00027
"1908-10-05",0.00027
"1908-10-12",0.00027
"1908-10-19",0.00027
"1908-10-26",0.00027
"1908-11-02",0.00027
"1908-11-09",0.00027
"1908-11-16",0.00027
"1908-11-23",0.00027
"1908-11-30",0.00027
"1908-12-07",0.00027
"1908-12-14",0.00027
"1908-12-21",0.00027
"1908-12-28",0.00027
"1909-01-04",0.00027
"1909-01-11",0.00027
"1909-01-18",0.00027
"1909-01-25",0.00027
"1909-02-01",0.00027
"1909-02-08",0.00027
"1909-02-15",0.00027
"1909-02-22",0.00027
"1909-03-01",0.00027
"1909-03-08",0.00027
"1909-03-15",0.00027
"1909-03-22",0.00027
"1909-03-29",0.00027
"1909-04-05",0.00027
"1909-04-12",0.00027
"1909-04-19",0.00027
"1909-04-26",0.00027
"1909-05-03",0.00027
"1909-05-10",0.00027
"1909-05-17",0.00027
"1909-05-24",0.00027
"1909-05-31",0.00027
"1909-06-07",0.00027
"1909-06-14",0.00027
"1909-06-21",0.00027
"1909-06-28",0.00027
"1909-07-05",0.00027
"1909-07-12",0.00027
"1909-07-19",0.00027
"1909-07-26",0.00027
"1909-08-02",0.00027
"1909-08-09",0.00027
"1909-08-16",0.00027
"1909-08-23",0.00027
"1909-08-30",0.00027
"1909-09-06",0.00027
"1909-09-13",0.00027
"1909-09-20",0.00027
"1909-09-27",0.00027
"1909-10-04",0.00027
"1909-10-11",0.00027
"1909-10-18",0.00027
"1909-10-25",0.00027
"1909-11-01",0.00027
"1909-11-08",0.00027
"1909-11-15",0.00027
"1909-11-22",0.00027
"1909-11-29",0.00027
