"date","NJ__FluTrends__inc"
"1909-07-05",1077
"1909-07-12",941
"1909-07-19",828
"1909-07-26",846
"1909-08-02",773
"1909-08-09",873
"1909-08-16",847
"1909-08-23",1049
"1909-08-30",1413
"1909-09-06",1868
"1909-09-13",2371
"1909-09-20",2913
"1909-09-27",3054
"1909-10-04",2905
"1909-10-11",3727
"1909-10-18",5583
"1909-10-25",7420
"1909-11-01",7704
"1909-11-08",6431
"1909-11-15",5012
"1909-11-22",3606
"1909-11-29",2958
"1909-12-06",2493
"1909-12-13",2238
"1909-12-20",2078
"1909-12-27",2109
"1910-01-03",2065
"1910-01-10",1985
"1910-01-17",1767
"1910-01-24",1669
"1910-01-31",1700
"1910-02-07",1586
"1910-02-14",1471
"1910-02-21",1364
"1910-02-28",1422
"1910-03-07",1310
"1910-03-14",1173
"1910-03-21",1022
"1910-03-28",1041
"1910-04-04",889
"1910-04-11",783
"1910-04-18",868
"1910-04-25",901
"1910-05-02",809
"1910-05-09",750
"1910-05-16",714
"1910-05-23",762
"1910-05-30",638
"1910-06-06",595
"1910-06-13",561
"1910-06-20",593
"1910-06-27",531
"1910-07-04",529
"1910-07-11",560
"1910-07-18",505
"1910-07-25",578
"1910-08-01",632
"1910-08-08",626
"1910-08-15",609
"1910-08-22",585
"1910-08-29",652
"1910-09-05",707
"1910-09-12",771
"1910-09-19",937
"1910-09-26",1046
"1910-10-03",1166
"1910-10-10",1184
"1910-10-17",1275
"1910-10-24",1215
"1910-10-31",1262
"1910-11-07",1348
"1910-11-14",1437
"1910-11-21",1303
"1910-11-28",1728
"1910-12-05",1709
"1910-12-12",1877
"1910-12-19",2321
"1910-12-26",2987
"1911-01-02",3154
"1911-01-09",2754
"1911-01-16",2946
"1911-01-23",3235
"1911-01-30",3002
"1911-02-06",3297
"1911-02-13",3230
"1911-02-20",2884
"1911-02-27",2557
"1911-03-06",2071
"1911-03-13",1670
"1911-03-20",1444
"1911-03-27",1313
"1911-04-03",1232
"1911-04-10",1065
"1911-04-17",838
"1911-04-24",732
"1911-05-01",653
"1911-05-08",701
"1911-05-15",675
"1911-05-22",717
"1911-05-29",618
"1911-06-05",649
"1911-06-12",555
"1911-06-19",507
"1911-06-26",446
"1911-07-03",385
"1911-07-10",476
"1911-07-17",422
"1911-07-24",446
"1911-07-31",421
"1911-08-07",497
"1911-08-14",396
"1911-08-21",431
"1911-08-28",448
"1911-09-04",613
"1911-09-11",742
"1911-09-18",993
"1911-09-25",1095
"1911-10-02",1149
"1911-10-09",1243
"1911-10-16",1099
"1911-10-23",1191
"1911-10-30",1298
"1911-11-06",1265
"1911-11-13",1485
"1911-11-20",1330
"1911-11-27",1585
"1911-12-04",1493
"1911-12-11",1667
"1911-12-18",2023
"1911-12-25",2320
"1912-01-01",2510
"1912-01-08",2136
"1912-01-15",2006
"1912-01-22",1962
"1912-01-29",1971
"1912-02-05",1716
"1912-02-12",1635
"1912-02-19",1600
"1912-02-26",1453
"1912-03-04",1514
"1912-03-11",1431
"1912-03-18",1314
"1912-03-25",1310
"1912-04-01",1365
"1912-04-08",1535
"1912-04-15",1620
"1912-04-22",1488
"1912-04-29",1432
"1912-05-06",1428
"1912-05-13",1367
"1912-05-20",1197
"1912-05-27",1081
"1912-06-03",1028
"1912-06-10",1028
"1912-06-17",814
"1912-06-24",702
"1912-07-01",699
"1912-07-08",680
"1912-07-15",621
"1912-07-22",568
"1912-07-29",611
"1912-08-05",638
