index,time,S:France__all,A:France__all,I:France__all,obs_mean:France__Sentinelles__inc,obs_real:France__Sentinelles__inc
0,1,6.40203e+07,501.853,187.96,141.209,122.808
0,2,6.40201e+07,37.9282,2.14159,9.17561,9.76467
0,3,6.39803e+07,23545.7,4731.67,6118.61,5719.63
0,4,6.3975e+07,23116.7,5007.13,6052.08,4982.38
0,5,6.39686e+07,23435,5261.02,6158.45,5593.15
0,6,6.39625e+07,23635.1,5458.79,6230.06,6635.55
0,7,6.39563e+07,23903.6,5625.49,6313.91,5739.44
0,8,6.39495e+07,24408.5,5799.8,6454.24,6363.29
0,9,6.39439e+07,24345.9,5869.3,6448.25,6951.63
0,10,6.39373e+07,24796.9,5996.5,6570.08,7331.26
0,11,6.39317e+07,24761.3,6035.55,6566.64,7858.73
0,12,6.39229e+07,26089.4,6297.24,6911.26,6908.21
0,13,6.3918e+07,25693.2,6275.86,6815.59,8591.53
0,14,6.39151e+07,24570,6098.52,6529.71,6912.13
0,15,6.39115e+07,23930.2,5973.11,6363.88,5920.43
0,16,6.39075e+07,23518.9,5876.46,6255.3,6349.3
0,17,6.39008e+07,24158.8,5972.52,6417.66,4755.54
0,18,6.38935e+07,24946,6116.13,6620.52,6410.89
0,19,6.38839e+07,26418.6,6404.17,7002.4,5673.37
0,20,6.38798e+07,25805.4,6327.75,6848.89,6739.56
0,21,6.38747e+07,25670.9,6316.53,6815.98,6149.74
0,22,6.3866e+07,26768.6,6527.47,7100.19,7088.41
0,23,6.38637e+07,25538.8,6324.58,6786.09,7705.69
0,24,6.38564e+07,26208.8,6443.12,6958.34,6465.26
0,25,6.3848e+07,27156.3,6628.76,7204.13,7386.05
0,26,6.38437e+07,26648.3,6558.1,7076.06,7354.17
0,27,6.38374e+07,26838.7,6600.34,7126.12,6396.13
0,28,6.38258e+07,28844.1,6983.55,7645.09,5951.65
0,29,6.38248e+07,27020.6,6689.29,7180.09,7072.84
0,30,6.38224e+07,25907.6,6476.63,6892.19,7845.34
0,31,6.38179e+07,25625.7,6397.46,6816.18,7809.28
0,32,6.38129e+07,25555.6,6360.44,6795.17,8232.67
0,33,6.3817e+07,22456.9,5754.7,5991.79,6896.24
0,34,6.3817e+07,21081.3,5420.42,5627.03,5074.77
0,35,6.3812e+07,21428.8,5414.58,5708,5576.44
0,36,6.38053e+07,22253.6,5531.6,5916.4,6387.04
0,37,6.37979e+07,23177.4,5695.7,6153.95,6160.78
0,38,6.37927e+07,23325.3,5730.76,6193.11,5257.88
