index,time,S:France__all,A:France__all,I:France__all,obs_mean:France__Sentinelles__inc,obs_real:France__Sentinelles__inc
0,39,6.37895e+07,22803.2,5639.26,6059.11,5278.4
0,40,6.37878e+07,21872.8,5458.48,5818.05,4885.92
0,41,6.37829e+07,22038.1,5470.07,5858.38,6627
0,42,6.37799e+07,21588.9,5373.61,5740.87,4614.05
0,43,6.37749e+07,21811.8,5400.95,5796.69,5694.24
0,44,6.37732e+07,20965.8,5233.03,5577.07,4602.39
0,45,6.37724e+07,19925.7,5014.31,5305.48,6014.23
0,46,6.37684e+07,19977.3,4991.92,5314.86,5902.7
0,47,6.37633e+07,20387.7,5050.05,5418.58,5446.35
0,48,6.37561e+07,21372.4,5232.78,5672.74,4889.82
0,49,6.37441e+07,23763.7,5702.77,6293.21,6028.69
0,50,6.37364e+07,24585,5910.56,6512.13,6514.19
0,51,6.37341e+07,23605.9,5782.56,6266.19,6663.96
0,52,6.37317e+07,22761.9,5643.27,6050.6,7006.33
0,53,6.37317e+07,21217.7,5349.31,5651.18,5586.96
0,54,6.37343e+07,19016.6,4898.52,5077.89,4768.01
0,55,6.37165e+07,23633,5718.48,6264.79,5005.61
0,56,6.37072e+07,25004.6,6016.81,6624.33,7458.72
0,57,6.36981e+07,26195.2,6290.91,6938.32,7511.35
0,58,6.36873e+07,27875.8,6659.84,7379.28,8135.66
0,59,6.36781e+07,28903.5,6922.7,7653.65,8098.2
0,60,6.36688e+07,29872.1,7171.71,7912.39,8297.06
0,61,6.36561e+07,31940.5,7616.29,8453.98,7202.55
0,62,6.36497e+07,31616.7,7651.31,8382.38,9586.35
0,63,6.36404e+07,32420.3,7852.96,8596.49,8075.58
0,64,6.3628e+07,34207.4,8231.97,9063.84,8330.48
0,65,6.36207e+07,34042.9,8278.56,9031.13,9923.21
0,66,6.36117e+07,34528.1,8415.16,9162.32,9105.39
0,67,6.3599e+07,36287.5,8778.52,9621.27,9661.63
0,68,6.35925e+07,35694.8,8737.16,9476.97,10765.8
0,69,6.35821e+07,36543.1,8924.87,9699.9,10540.1
0,70,6.35668e+07,39043.2,9422.38,10349.7,11606.5
0,71,6.35513e+07,41347,9921.75,10953.7,9805.13
0,72,6.354e+07,41958.7,10135.5,11124.3,13460.5
0,73,6.35234e+07,44381.4,10661.5,11759.6,11720.6
0,74,6.35164e+07,43269.7,10564.2,11486.4,11178.1
0,75,6.35092e+07,42370.1,10448.9,11260.8,11365.7
0,76,6.35038e+07,41018.2,10214.1,10913.9,11044.4
0,77,6.34987e+07,39721.2,9954.63,10576.9,11734.4
0,78,6.34905e+07,39630.8,9898.77,10548.8,9837.48
0,79,6.34769e+07,41334.5,10191.3,10986,12065.5
0,80,6.34588e+07,44304,10763.4,11755.6,13072.8
0,81,6.34527e+07,43026.4,10592.9,11434.3,12724.7
0,82,6.344e+07,44104.2,10814.7,11715.5,11861.6
0,83,6.34252e+07,45754.3,11157.5,12146.5,12616.2
0,84,6.34202e+07,43991.6,10890.2,11699,11616.7
0,85,6.34154e+07,42374,10594.9,11282.1,11031.7
0,86,6.34129e+07,40184.6,10155.9,10712.8,11338.7
0,87,6.34055e+07,39883.9,10034.2,10627,10439.5
0,88,6.34023e+07,38202.4,9664.49,10185.8,7992.93
0,89,6.34015e+07,35957,9169.63,9596.25,8943.58
0,90,6.34005e+07,33976.2,8701.42,9072.24,10262.4
0,91,6.33898e+07,35248.2,8851.71,9390.13,10054.5
0,92,6.33849e+07,34523.7,8669.15,9197.14,9650.83
0,93,6.33887e+07,31186.9,7984.64,8327.35,8620.42
0,94,6.33881e+07,29525.2,7574.81,7885.62,8542.7
0,95,6.3387e+07,28150.8,7217.05,7517.92,7170.49
0,96,6.33916e+07,25202.7,6553.67,6742.12,7110.46
0,97,6.33937e+07,23283.9,6066.87,6230.3,6743.18
0,98,6.33894e+07,23342.2,5974.8,6232.52,6465.64
0,99,6.33866e+07,22962.8,5830.26,6125.33,6704.98
0,100,6.33888e+07,21113.7,5410.71,5638.31,4497.47
0,101,6.33854e+07,21024.5,5329.15,5607.17,4369.03
0,102,6.3383e+07,20647.1,5209.99,5503.62,4915.74
0,103,6.33817e+07,19926.8,5032.06,5312.1,5229.23
0,104,6.33805e+07,19271.8,4867.59,5137.61,4685.43
0,105,6.33838e+07,17323.4,4448.65,4627.33,4277.36
0,106,6.33853e+07,16075,4145.63,4296.06,3922.75
0,107,6.33814e+07,16460.8,4165.29,4389.21,4417.72
0,108,6.33803e+07,15971.1,4034.85,4257.81,4650.48
0,109,6.33671e+07,18929.7,4594.99,5023.25,5101.22
0,110,6.3361e+07,19616.2,4757.32,5204.93,4685.47
0,111,6.33541e+07,20496.7,4957.58,5436.97,5188.52
0,112,6.33483e+07,20990.9,5089.54,5569.67,6167.32
0,113,6.33414e+07,21781.5,5273.57,5778.58,5500.8
0,114,6.33327e+07,23130.5,5564.56,6132.1,6136.81
0,115,6.33241e+07,24318.5,5838.56,6445.68,5985.64
0,116,6.33168e+07,24979.3,6021.82,6624.01,5946.86
0,117,6.33079e+07,26156.8,6293.04,6934.78,6617.63
0,118,6.33017e+07,26305.3,6383.79,6981.14,7476.64
0,119,6.32923e+07,27586.5,6663.62,7317.38,8204.65
0,120,6.32882e+07,26923.6,6602.11,7153.96,6692.05
0,121,6.32862e+07,25608.9,6388.1,6818.25,6994.97
0,122,6.32757e+07,27411.4,6711,7282.41,6387.17
0,123,6.32744e+07,25855.5,6451.6,6884.31,7444.6
0,124,6.3275e+07,23827.8,6061.79,6358.97,6278.97
0,125,6.32593e+07,27537.6,6713.69,7312.63,7134.72
0,126,6.32448e+07,30403.8,7290.11,8058.64,7589.77
0,127,6.32367e+07,30827.3,7450.22,8178.36,7875.89
0,128,6.32292e+07,31073.3,7560.68,8250.15,7340.02
0,129,6.32201e+07,31842,7751.25,8454.84,9031.97
0,130,6.32149e+07,31200.8,7684.4,8295.85,8226.88
0,131,6.32076e+07,31390.9,7740.16,8347.65,6620.01
0,132,6.32004e+07,31535.4,7784.55,8387.29,8689.84
0,133,6.31983e+07,29935.3,7502.71,7975.97,7546.2
0,134,6.31932e+07,29573.3,7412.23,7879.61,9158.72
0,135,6.31803e+07,31850.8,7817.65,8465.89,9857.5
0,136,6.31779e+07,30333.4,7561.06,8077.14,6453.44
0,137,6.3179e+07,27841.6,7082.9,7431.57,7137.58
0,138,6.31735e+07,27848.9,7027.95,7426.47,6623.38
0,139,6.31675e+07,27958.1,7009.91,7449.95,7014.59
0,140,6.31663e+07,26535.8,6713.16,7078.5,7929.13
0,141,6.31544e+07,28647.6,7076.12,7620.48,8557.7
0,142,6.31325e+07,33771.8,8065.75,8949.24,10757.8
0,143,6.31289e+07,32425.9,7917.37,8614.41,9038.9
0,144,6.31299e+07,29756.6,7469.52,7930.88,7862.12
0,145,6.31319e+07,27077.5,6946.07,7235.54,7672.98
0,146,6.31329e+07,25021,6484.67,6694.32,6381.63
0,147,6.31363e+07,22437.6,5897.46,6013.44,7008.1
0,148,6.31279e+07,23867.8,6067.74,6371,6239.9
0,149,6.31166e+07,25937.3,6423.85,6902.2,6945.62
0,150,6.31103e+07,26274.6,6491.94,6990.11,6794.39
0,151,6.31035e+07,26710.8,6584.44,7104.31,7782.14
0,152,6.30985e+07,26540.5,6567.06,7062.2,8168.37
0,153,6.30949e+07,25970,6466.43,6915.54,7055.7
0,154,6.30905e+07,25701,6409.6,6845.24,7857.96
0,155,6.3087e+07,25154.5,6296.58,6702.66,6625.14
0,156,6.30825e+07,24980,6246.61,6655.43,7166.78
0,157,6.30802e+07,24152.5,6073.87,6439.28,4893.39
0,158,6.30781e+07,23313.7,5887.65,6218.8,6554.71
0,159,6.30728e+07,23556.3,5901.31,6277.59,6703.25
0,160,6.30658e+07,24315.2,6029.51,6472.11,5300.41
0,161,6.30608e+07,24339.2,6036.04,6478.66,7418.79
0,162,6.30584e+07,23542.1,5886.06,6272.51,6156.01
0,163,6.3057e+07,22534.9,5680.38,6009.98,6656.95
0,164,6.30513e+07,22965,5735.02,6117.98,6398.07
0,165,6.30448e+07,23593.3,5844.64,6279.5,6413.23
0,166,6.30425e+07,22827.5,5702.38,6081.68,5977.19
0,167,6.3037e+07,23129.9,5749.17,6158.68,6347.21
0,168,6.30381e+07,21324.4,5402.28,5690.75,5561.06
0,169,6.30308e+07,22370.6,5568.4,5957.58,5624.42
0,170,6.30242e+07,23059.8,5696.22,6135.7,6057.69
0,171,6.30209e+07,22632.1,5624.36,6026.2,5813.26
0,172,6.30146e+07,23218,5735.09,6177.88,6438.32
0,173,6.3e+07,26373.2,6345.44,6996.35,6081.34
0,174,6.29907e+07,27543.6,6631.95,7307.58,6558.64
0,175,6.29857e+07,27221.6,6642.68,7233.34,6875.44
0,176,6.29745e+07,29027.8,7016.4,7705,8208.64
0,177,6.29591e+07,32064.6,7638.83,8497.26,7975.9
0,178,6.2943e+07,35086.7,8295.42,9290.43,9865.6
0,179,6.29279e+07,37524.6,8871.4,9936.18,10349.7
0,180,6.29212e+07,36801.8,8895.15,9769.44,10465.5
0,181,6.291e+07,37784.1,9157.44,10033.6,9192.47
0,182,6.28936e+07,40597.2,9742.08,10768.7,9680.68
0,183,6.28845e+07,40492.2,9842.5,10756.8,11301
0,184,6.28711e+07,42012.7,10194.5,11158.8,10015.7
0,185,6.28599e+07,42543.8,10378.1,11307,9931.18
0,186,6.28432e+07,45065,10905,11966.4,10539.2
0,187,6.28387e+07,42967.1,10630.8,11438.9,10745.6
0,188,6.28302e+07,42577.3,10585.5,11341.8,13236.6
0,189,6.28082e+07,46977.4,11401,12479.2,11454.4
0,190,6.27992e+07,46358.3,11385.5,12332,13619.9
0,191,6.27887e+07,46338,11436.2,12333.9,11361
0,192,6.27928e+07,41286.1,10545.8,11034.1,11777.3
0,193,6.27971e+07,36863,9639.99,9880.22,9609.8
0,194,6.27875e+07,37636.4,9638.18,10061.9,10023.9
0,195,6.27758e+07,38966.5,9805.52,10395.9,9880.98
0,196,6.27676e+07,38977,9772.63,10394.4,12206.3
0,197,6.27598e+07,38837.8,9723.3,10355.6,10066.5
0,198,6.27543e+07,37928.7,9532.55,10118,7809.76
0,199,6.27463e+07,37963.4,9510.36,10123.5,11178.9
0,200,6.27396e+07,37553.7,9413.5,10015.1,9894.38
0,201,6.27212e+07,40920.3,10035.3,10885.2,10252.6
0,202,6.26994e+07,45016.4,10860.2,11952.6,9756.02
0,203,6.26721e+07,50552.8,12003.9,13399,15215.3
0,204,6.26507e+07,53690.7,12767.2,14233.6,12932.7
0,205,6.26322e+07,55632.9,13316.2,14760,14362.8
0,206,6.26081e+07,59423.3,14172.5,15760,14957.7
0,207,6.25888e+07,61189.4,14698,16242.1,15099.5
0,208,6.25743e+07,61147,14878.6,16255.5,16679.8
0,209,6.25671e+07,58591.4,14553.3,15613.9,17214.3
0,210,6.2565e+07,54607.2,13865.7,14590.5,17041.5
0,211,6.25474e+07,56582.3,14156.8,15092.1,14290
0,212,6.25304e+07,58078.9,14425.4,15478.4,17433.6
0,213,6.25156e+07,58657.4,14557.9,15631.6,14320.6
0,214,6.2505e+07,57736.4,14416.8,15397.6,14735
0,215,6.2483e+07,60808,14989.2,16192.8,17600.9
0,216,6.24728e+07,59560.7,14821.9,15878.7,15851.3
0,217,6.24679e+07,56698.4,14309.2,15141.1,15622.1
0,218,6.24604e+07,55078.6,13959.8,14716.3,13783.5
0,219,6.24474e+07,55455.5,13965.4,14806,15438
0,220,6.24299e+07,57216,14261.1,15257.8,14906.3
0,221,6.24083e+07,60097.5,14814.7,16006,15249.7
0,222,6.23968e+07,59386.7,14746,15830.6,15443.4
0,223,6.23824e+07,59734.9,14842,15925,15417.7
0,224,6.23673e+07,60292.6,14975,16073.5,15218.4
0,225,6.23574e+07,59091.1,14782.2,15766.9,18537.7
0,226,6.23375e+07,61304,15193.7,16340,14007
0,227,6.23151e+07,64098.5,15759.5,17069.4,14633.3
0,228,6.23018e+07,63621.1,15758.2,16957.5,18439
0,229,6.22764e+07,67215.2,16476,17894.4,15265.7
0,230,6.22604e+07,67345.9,16610.4,17942.8,15939.7
0,231,6.225e+07,65664.9,16379.9,17518.7,20110
0,232,6.22337e+07,66162.5,16491,17650.4,17545.9
0,233,6.22244e+07,64291.6,16166.8,17169.7,17732.2
0,234,6.22149e+07,62718.3,15850,16759.9,16558.2
0,235,6.21988e+07,63449.9,15939.1,16943.7,15339.7
0,236,6.21779e+07,65667.4,16338.5,17516.5,15953.9
0,237,6.2158e+07,67313.1,16680.2,17947.6,19164.4
0,238,6.21498e+07,65011,16306.1,17359.1,16976.2
0,239,6.21256e+07,68145.2,16885.7,18170.5,19557.1
0,240,6.21174e+07,65744.7,16495.9,17556.8,18723.4
0,241,6.21113e+07,62965.2,15967.7,16836.4,13503.2
0,242,6.21005e+07,62025.1,15728.1,16585.2,15578.9
0,243,6.20746e+07,65995.8,16419.1,17607.5,18133.1
0,244,6.2054e+07,67810.2,16798.5,18083.2,16241.3
0,245,6.20368e+07,68374.6,16967.1,18238,21611.3
0,246,6.2029e+07,65857.5,16552.5,17593.7,17478.7
0,247,6.20242e+07,62669.5,15942.4,16766.6,16206.1
0,248,6.20219e+07,59062.3,15187,15822.3,15853.3
0,249,6.2015e+07,57301.1,14727.2,15349.8,12419.5
0,250,6.20054e+07,56525.4,14458.4,15133.5,16523.7
0,251,6.20006e+07,54332.3,13939.1,14551.8,13491.6
0,252,6.19955e+07,52417.3,13462,14040.8,15235.1
0,253,6.19838e+07,52674.9,13404.2,14094.3,14131.8
0,254,6.19813e+07,50087.6,12834,13413.4,11910.6
0,255,6.19656e+07,51703.9,13055,13822,12925.8
0,256,6.19524e+07,52388.9,13154.8,13996.1,14275.7
0,257,6.19458e+07,50942.1,12868.1,13619.6,15593.4
0,258,6.19344e+07,51134.3,12873.2,13665.7,13877.7
0,259,6.19218e+07,51622.2,12949.3,13790.5,12951.7
0,260,6.18963e+07,56018.1,13787.7,14931.7,16152.4
0,261,6.18791e+07,57415.1,14136.8,15305.3,12578.3
0,262,6.18716e+07,55648.8,13894.2,14859.3,16269.8
0,263,6.18575e+07,56226.5,14026.7,15012.4,13445.5
0,264,6.18408e+07,57553.9,14304,15360.5,15709.7
0,265,6.18218e+07,59485.6,14712.4,15867.4,17204.4
0,266,6.18029e+07,61227.7,15109.8,16328.5,18068.3
0,267,6.17825e+07,63281.3,15577.6,16871.8,18935.3
0,268,6.17641e+07,64521.7,15910.3,17206.6,19135.5
0,269,6.17494e+07,64461,15997.5,17204,17682.1
0,270,6.17274e+07,66850.5,16504.6,17831.5,17592.1
0,271,6.17071e+07,68460,16898.3,18261.1,14628.5
0,272,6.16876e+07,69650.1,17219.1,18582.7,20718.1
0,273,6.16667e+07,71203.6,17600.8,18997.6,19245.6
0,274,6.16484e+07,71786.2,17807.9,19161.9,25152.9
0,275,6.16267e+07,73491,18203.4,19614.2,18807.3
0,276,6.15995e+07,76857.2,18916.5,20498.2,21897.1
0,277,6.15877e+07,74733.9,18663.7,19967.1,13080.1
0,278,6.15633e+07,77133.9,19154.6,20595.3,22996.4
0,279,6.15438e+07,77623.4,19330.4,20733.8,20238.4
0,280,6.15307e+07,75969.8,19094.6,20315.3,18565.1
0,281,6.15095e+07,77231.1,19341.4,20644.4,22022.4
0,282,6.14947e+07,76249.6,19194.1,20395.3,21835.5
0,283,6.1477e+07,76349.7,19216.9,20422.5,17772
0,284,6.14464e+07,80690.6,20035.4,21549.6,20300.1
0,285,6.14233e+07,82115.6,20395.7,21932,22557.1
0,286,6.14079e+07,80818.3,20250.4,21609,22218.9
0,287,6.1391e+07,80232.1,20180.7,21462.9,20285.5
0,288,6.13783e+07,78367.1,19847.5,20982,24092.2
0,289,6.13601e+07,78522.7,19848.1,21019.5,19865.5
0,290,6.13432e+07,78210.7,19773.1,20937.2,22169.7
0,291,6.13229e+07,79056.9,19915.9,21155.4,22472
0,292,6.13054e+07,78886.3,19890.1,21112.6,20260
0,293,6.12877e+07,78780.6,19872.1,21086.2,23399.1
0,294,6.12745e+07,77252.7,19583.6,20690.3,20430.3
0,295,6.12569e+07,77332.4,19568.3,20707.8,20520
0,296,6.1242e+07,76519.1,19395.5,20494.9,20791.6
0,297,6.12321e+07,74169.1,18921.1,19881.5,17804.9
0,298,6.12171e+07,73711.6,18767.7,19754.8,18910.8
0,299,6.12011e+07,73601.2,18692.7,19719.7,20223
0,300,6.11914e+07,71493.4,18251.6,19167.6,20290.7
0,301,6.11879e+07,67649.3,17448.7,18160.2,19927
0,302,6.11745e+07,67290.3,17258.2,18051.6,20597.3
0,303,6.1171e+07,63900.8,16513.7,17158.6,19223.6
0,304,6.11634e+07,62063,16031.5,16664.4,18102.7
0,305,6.11623e+07,58438.2,15205.3,15705.4,14832.2
0,306,6.11511e+07,58169.7,15003,15616.5,14144.2
0,307,6.11361e+07,59035.8,15066.3,15828.8,15374.4
0,308,6.11236e+07,58965.1,14997.2,15803.7,15562.7
0,309,6.11158e+07,57521.2,14679.3,15423.3,16303.2
0,310,6.11077e+07,56254.1,14382.1,15087.2,12579.6
0,311,6.10956e+07,56293.7,14331.3,15090.3,11861.5
0,312,6.10892e+07,54578.6,13960.9,14639.3,18988.9
0,313,6.10838e+07,52729.7,13544.9,14150.9,15639.5
0,314,6.10774e+07,51358.7,13204.3,13784.6,15060.4
0,315,6.10648e+07,51928.4,13238.7,13923.4,13033.4
0,316,6.10448e+07,54593.7,13715.8,14612.4,14168
0,317,6.1032e+07,54842.4,13787.5,14680.5,11890.6
0,318,6.1013e+07,56947.9,14212.7,15231.2,15124.1
0,319,6.10004e+07,56887.2,14259.3,15223.4,15949.6
0,320,6.09902e+07,56121.3,14154.2,15030,15400.9
0,321,6.09827e+07,54592.1,13877.2,14634.7,12920.7
0,322,6.09667e+07,55895.7,14101.6,14970.8,14080.8
0,323,6.09557e+07,55448.9,14027.7,14856.5,12420.6
0,324,6.0941e+07,56263,14181.2,15068.3,13115.1
0,325,6.0929e+07,56097,14166,15027.6,17348.5
0,326,6.09167e+07,56064.2,14168.1,15020.6,12610.8
0,327,6.09e+07,57427.7,14432.1,15375.9,15990.1
0,328,6.08804e+07,59587.5,14872.7,15941.5,13009.2
0,329,6.08492e+07,65256.5,16006.8,17422.7,17542.9
0,330,6.08281e+07,67098.3,16513.5,17922.4,19432.6
0,331,6.08037e+07,69927.4,17188.1,18676.1,19181.8
0,332,6.07802e+07,72216,17775.7,19291.5,18773
0,333,6.07667e+07,70960.7,17714.5,18988.8,16271.9
0,334,6.07432e+07,73301.1,18231.1,19607.2,20918
0,335,6.07169e+07,76373,18907.8,20418.6,18310.8
0,336,6.06999e+07,75962.7,18978.8,20332.1,17821.2
0,337,6.0684e+07,75302.7,18949.9,20173.7,22361.6
0,338,6.06454e+07,82470.1,20323.2,22039.5,27111.9
0,339,6.06232e+07,83258.7,20659,22269.6,19635.4
0,340,6.06076e+07,81789.9,20539.7,21909.4,20385.2
0,341,6.05927e+07,80304.8,20337.8,21534.5,22377.8
0,342,6.05893e+07,75114.4,19391.4,20190.8,18719.5
0,343,6.05689e+07,76338.8,19519.1,20496.2,22771.5
0,344,6.05497e+07,76957.8,19591,20651.9,19498.3
0,345,6.05308e+07,77406.4,19658.3,20766.9,16143.4
0,346,6.05153e+07,76667.7,19516.3,20575.3,16090.1
0,347,6.05003e+07,75863.6,19348,20364.9,18195.6
0,348,6.04825e+07,76026.6,19352.3,20404.6,18749.7
0,349,6.04653e+07,76015.1,19335.9,20400.4,22788.7
0,350,6.04556e+07,73557.7,18859.1,19760.7,16716.9
0,351,6.04481e+07,70678.9,18253.8,19004.9,19050.3
0,352,6.04456e+07,66517.7,17358.6,17909.5,17270.8
0,353,6.04385e+07,64291.2,16778.4,17310.4,19391.8
0,354,6.04233e+07,64747.9,16721.7,17411,16998.1
0,355,6.04153e+07,62909,16272.6,16920.1,18063.8
0,356,6.03999e+07,63481,16288.8,17057.3,17879.2
0,357,6.03941e+07,60997.8,15751.8,16403.4,16639.2
0,358,6.03872e+07,59136.7,15306.4,15907.7,19134.6
0,359,6.03744e+07,59202.7,15227.6,15913.3,15694.7
0,360,6.0356e+07,60907.3,15499.7,16350.4,18502.1
0,361,6.03426e+07,60893.8,15489.4,16346.3,15991.6
0,362,6.03291e+07,60901.1,15486.7,16348.1,16117.7
0,363,6.03109e+07,62324.6,15759,16719.1,17034
0,364,6.02987e+07,61767.2,15680.5,16578.1,14886.1
0,365,6.02845e+07,61914.5,15717.7,16618.1,15156.8
0,366,6.02816e+07,58488,15074,15728.1,12707
0,367,6.02725e+07,57391.2,14801.3,15434.8,12764.5
0,368,6.02589e+07,57780.9,14811.3,15528.2,13147.1
0,369,6.02511e+07,56300.6,14489.3,15138.1,12271.1
0,370,6.02359e+07,57260.9,14621.2,15381.7,13777.2
0,371,6.02236e+07,57189.6,14590.3,15361.2,14153.9
0,372,6.02105e+07,57366.5,14612,15406.1,17538.2
0,373,6.0206e+07,54817.2,14118.3,14742,14365.4
0,374,6.01954e+07,54476.5,13999.3,14646.6,13110.6
0,375,6.01822e+07,54900.2,14038,14751.7,14502.9
0,376,6.01626e+07,57271.2,14474.8,15367.2,15768.9
0,377,6.01425e+07,59555.3,14946.6,15966.9,13364.3
0,378,6.0126e+07,60481.3,15192.8,16217.5,18141.5
0,379,6.01106e+07,60983.4,15355.9,16357.4,14705.7
0,380,6.0098e+07,60549,15332.2,16252.6,15902.8
0,381,6.00845e+07,60506.9,15355.6,16246.2,19665.4
0,382,6.00723e+07,60049.1,15290.2,16130.3,15255.5
0,383,6.00491e+07,63199.1,15891.5,16950.9,15684.9
0,384,6.00292e+07,64940.8,16290,17413.5,17423.8
0,385,6.00063e+07,67506.6,16857.2,18092.3,20027.5
0,386,5.99907e+07,67423.6,16956,18086.3,16352.8
0,387,5.99759e+07,67143.9,16981.6,18024.4,14505.5
0,388,5.99593e+07,67502.9,17096.6,18124.6,19776.8
0,389,5.99416e+07,68228.3,17273.6,18319.1,17228
0,390,5.99148e+07,71909.9,18008.9,19282.7,20153.1
0,391,5.98963e+07,72402.2,18210.7,19425.8,19858.1
0,392,5.98814e+07,71728.9,18172.3,19262.9,15855.5
0,393,5.98673e+07,70888.1,18061.1,19051.1,20384.5
0,394,5.98563e+07,69104.6,17739.9,18589.7,20161
0,395,5.98421e+07,68659.7,17627.2,18470.8,15498.6
0,396,5.98304e+07,67391.3,17357.1,18137.3,17713.1
0,397,5.98182e+07,66445.2,17130.4,17885.4,18221.5
0,398,5.98046e+07,66066.4,17007,17780.5,17050.9
0,399,5.97944e+07,64608.8,16684.8,17395.6,17537.4
0,400,5.97837e+07,63461.4,16405.9,17089.3,17905.2
0,401,5.97757e+07,61559.2,15976.1,16585.5,19334.5
0,402,5.97623e+07,61568.9,15897.7,16577.9,17017.1
0,403,5.97541e+07,59893.7,15518.3,16134.1,12764.9
0,404,5.97405e+07,60073.4,15483.6,16172.3,14923.7
0,405,5.97279e+07,59889.5,15404.5,16119,14836.7
0,406,5.97169e+07,59217.7,15241.7,15939.8,14749
0,407,5.97025e+07,59675.4,15295.8,16055.1,17784
0,408,5.96924e+07,58707.6,15094.7,15801.2,16298.7
0,409,5.96869e+07,56395.2,14619.8,15194.8,15502.4
0,410,5.96825e+07,53992,14089.1,14559.6,13440.4
0,411,5.9671e+07,54033.1,14005.1,14558.5,16718.4
0,412,5.96503e+07,56841.1,14491.7,15283.9,14580
0,413,5.96408e+07,55883.5,14318.8,15036.1,12329.4
0,414,5.96319e+07,54854.2,14111.1,14766.8,14312.6
0,415,5.96236e+07,53731,13868.1,14470.8,13971.6
0,416,5.96167e+07,52271.6,13545.8,14085.1,12734.4
0,417,5.9605e+07,52447.2,13523.7,14123.8,13861.2
0,418,5.96102e+07,47353.5,12499.9,12790.3,12147.3
0,419,5.96011e+07,47226,12350.7,12740.8,10863
0,420,5.95901e+07,47616.4,12340,12831.5,14124.1
0,421,5.95829e+07,46780,12123.7,12606.4,12875.4
0,422,5.95731e+07,46780.9,12073.2,12600.2,12916.7
0,423,5.95667e+07,45761.5,11839.6,12329.6,11876
0,424,5.95565e+07,45953.6,11834.9,12374.5,10718.2
0,425,5.95392e+07,48275.2,12263.6,12977.7,10365.6
0,426,5.95282e+07,48399.9,12316.7,13014.3,12512.6
0,427,5.95241e+07,46392.3,11953.5,12494.2,13298.2
0,428,5.95151e+07,46137.5,11880.1,12424.7,12596.4
0,429,5.94984e+07,48302.4,12276.7,12986.9,12799.7
0,430,5.94808e+07,50516.9,12731.8,13568.5,13852.1
0,431,5.94654e+07,51798.5,13041.7,13911.4,13608.8
0,432,5.94548e+07,51444.6,13047.1,13829.2,15023.5
0,433,5.94375e+07,53353.7,13450.6,14332.2,12274.2
0,434,5.94264e+07,53015.9,13457.4,14253.9,14134.1
0,435,5.94123e+07,53777.6,13642.6,14458.1,13005.1
0,436,5.94004e+07,53711.5,13675.5,14447.2,13619.7
0,437,5.93833e+07,55365.6,14017.9,14882.2,15436.3
0,438,5.93695e+07,55783.4,14153.1,14998.8,15831.9
0,439,5.9356e+07,56101.1,14261.1,15088.3,14769.3
0,440,5.9343e+07,56184.1,14317.2,15115.6,16767.2
0,441,5.93292e+07,56594.5,14424.6,15226.8,16285.2
