1.44969,-0.405476,-0.247674,2.37687,-1.84365,1.17847,-0.627934,0,0,0
-0.405476,0.116269,0.0665546,-0.657124,0.504456,-0.330681,0.176633,0,0,0
-0.247674,0.0665546,0.0473649,-0.417986,0.33432,-0.200999,0.106048,0,0,0
2.37687,-0.657124,-0.417986,3.96581,-3.13285,1.93019,-1.01627,0,0,0
-1.84365,0.504456,0.33432,-3.13285,2.55431,-1.50006,0.772595,0,0,0
1.17847,-0.330681,-0.200999,1.93019,-1.50006,0.961847,-0.512121,0,0,0
-0.627934,0.176633,0.106048,-1.01627,0.772595,-0.512121,0.282179,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
