index,S:all,I:all,beta:all,k:all,sto:all,d:all,rep:all,phi:all,log_like
65,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
66,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
67,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
68,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
69,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
70,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
71,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
72,0.928506,8.79648e-06,0.493988,79.6733,0.1,0.57179,1,0.1,-7803.682983
73,0.928974,8.73986e-06,0.499689,79.6052,0.1,0.566426,1,0.1,-7797.820945
74,0.928974,8.73986e-06,0.499689,79.6052,0.1,0.566426,1,0.1,-7797.820945
75,0.928974,8.73986e-06,0.499689,79.6052,0.1,0.566426,1,0.1,-7797.820945
76,0.928974,8.73986e-06,0.499689,79.6052,0.1,0.566426,1,0.1,-7797.820945
77,0.929676,8.6937e-06,0.505495,79.5409,0.1,0.561622,1,0.1,-7792.584563
78,0.930385,8.62223e-06,0.51384,79.4586,0.1,0.548219,1,0.1,-7783.115854
79,0.930385,8.62223e-06,0.51384,79.4586,0.1,0.548219,1,0.1,-7783.115854
80,0.930385,8.62223e-06,0.51384,79.4586,0.1,0.548219,1,0.1,-7783.115854
81,0.930385,8.62223e-06,0.51384,79.4586,0.1,0.548219,1,0.1,-7783.115854
82,0.932419,8.44419e-06,0.534267,79.221,0.1,0.530945,1,0.1,-7765.319900
83,0.932419,8.44419e-06,0.534267,79.221,0.1,0.530945,1,0.1,-7765.319900
84,0.93329,8.35451e-06,0.545028,79.1118,0.1,0.516031,1,0.1,-7753.229307
85,0.93329,8.35451e-06,0.545028,79.1118,0.1,0.516031,1,0.1,-7753.229307
86,0.935597,8.14086e-06,0.570794,78.8328,0.1,0.490421,1,0.1,-7730.677107
87,0.938176,7.88227e-06,0.601198,78.4781,0.1,0.462554,1,0.1,-7705.741026
88,0.938176,7.88227e-06,0.601198,78.4781,0.1,0.462554,1,0.1,-7705.741026
89,0.938176,7.88227e-06,0.601198,78.4781,0.1,0.462554,1,0.1,-7705.741026
90,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
91,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
92,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
93,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
94,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
95,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
96,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
97,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
98,0.943078,7.36068e-06,0.664262,77.7599,0.1,0.408166,1,0.1,-7665.304917
99,0.942357,7.44005e-06,0.654114,77.8635,0.1,0.421197,1,0.1,-7664.645993
100,0.945516,7.09187e-06,0.696102,77.3696,0.1,0.387396,1,0.1,-7641.992006
101,0.945516,7.09187e-06,0.696102,77.3696,0.1,0.387396,1,0.1,-7641.992006
102,0.945516,7.09187e-06,0.696102,77.3696,0.1,0.387396,1,0.1,-7641.992006
103,0.945516,7.09187e-06,0.696102,77.3696,0.1,0.387396,1,0.1,-7641.992006
104,0.947557,6.83066e-06,0.724889,76.985,0.1,0.372162,1,0.1,-7617.964978
105,0.947557,6.83066e-06,0.724889,76.985,0.1,0.372162,1,0.1,-7617.964978
106,0.947557,6.83066e-06,0.724889,76.985,0.1,0.372162,1,0.1,-7617.964978
107,0.947557,6.83066e-06,0.724889,76.985,0.1,0.372162,1,0.1,-7617.964978
108,0.948452,6.73796e-06,0.736076,76.8418,0.1,0.370159,1,0.1,-7602.857706
109,0.948452,6.73796e-06,0.736076,76.8418,0.1,0.370159,1,0.1,-7602.857706
110,0.951826,6.26301e-06,0.785927,76.1404,0.1,0.338731,1,0.1,-7591.345766
111,0.951679,6.30422e-06,0.781747,76.1858,0.1,0.350064,1,0.1,-7574.872366
112,0.951679,6.30422e-06,0.781747,76.1858,0.1,0.350064,1,0.1,-7574.872366
113,0.951679,6.30422e-06,0.781747,76.1858,0.1,0.350064,1,0.1,-7574.872366
114,0.954555,5.88408e-06,0.823612,75.5538,0.1,0.323812,1,0.1,-7565.019728
115,0.954555,5.88408e-06,0.823612,75.5538,0.1,0.323812,1,0.1,-7565.019728
116,0.955063,5.78365e-06,0.831848,75.4038,0.1,0.322492,1,0.1,-7553.403332
117,0.955063,5.78365e-06,0.831848,75.4038,0.1,0.322492,1,0.1,-7553.403332
118,0.955063,5.78365e-06,0.831848,75.4038,0.1,0.322492,1,0.1,-7553.403332
119,0.955041,5.80593e-06,0.830345,75.4287,0.1,0.323701,1,0.1,-7552.687836
120,0.956315,5.60571e-06,0.848453,75.1264,0.1,0.314168,1,0.1,-7547.879829
121,0.956315,5.60571e-06,0.848453,75.1264,0.1,0.314168,1,0.1,-7547.879829
122,0.957785,5.33693e-06,0.869543,74.7118,0.1,0.312622,1,0.1,-7523.273289
123,0.957785,5.33693e-06,0.869543,74.7118,0.1,0.312622,1,0.1,-7523.273289
124,0.957785,5.33693e-06,0.869543,74.7118,0.1,0.312622,1,0.1,-7523.273289
125,0.957785,5.33693e-06,0.869543,74.7118,0.1,0.312622,1,0.1,-7523.273289
126,0.959681,4.99599e-06,0.895492,74.2012,0.1,0.299238,1,0.1,-7512.541843
127,0.959681,4.99599e-06,0.895492,74.2012,0.1,0.299238,1,0.1,-7512.541843
128,0.959681,4.99599e-06,0.895492,74.2012,0.1,0.299238,1,0.1,-7512.541843
129,0.961909,4.53032e-06,0.924416,73.5055,0.1,0.295175,1,0.1,-7498.044028
130,0.963221,4.1857e-06,0.942022,73.0353,0.1,0.281138,1,0.1,-7496.698075
131,0.963221,4.1857e-06,0.942022,73.0353,0.1,0.281138,1,0.1,-7496.698075
132,0.963221,4.1857e-06,0.942022,73.0353,0.1,0.281138,1,0.1,-7496.698075
133,0.963221,4.1857e-06,0.942022,73.0353,0.1,0.281138,1,0.1,-7496.698075
134,0.965811,3.44379e-06,0.970561,72.0618,0.1,0.271436,1,0.1,-7487.309304
135,0.965811,3.44379e-06,0.970561,72.0618,0.1,0.271436,1,0.1,-7487.309304
136,0.965811,3.44379e-06,0.970561,72.0618,0.1,0.271436,1,0.1,-7487.309304
137,0.965811,3.44379e-06,0.970561,72.0618,0.1,0.271436,1,0.1,-7487.309304
138,0.963473,4.13472e-06,0.944479,72.9563,0.1,0.286101,1,0.1,-7486.447983
139,0.963473,4.13472e-06,0.944479,72.9563,0.1,0.286101,1,0.1,-7486.447983
140,0.963473,4.13472e-06,0.944479,72.9563,0.1,0.286101,1,0.1,-7486.447983
141,0.965698,3.49469e-06,0.969156,72.1207,0.1,0.27312,1,0.1,-7482.902341
142,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
143,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
144,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
145,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
146,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
147,0.96653,3.19651e-06,0.977307,71.7641,0.1,0.276044,1,0.1,-7473.400276
148,0.967166,2.94124e-06,0.983099,71.4852,0.1,0.270743,1,0.1,-7472.552703
149,0.967166,2.94124e-06,0.983099,71.4852,0.1,0.270743,1,0.1,-7472.552703
