index,time,S:NJ__all,I:NJ__all,obs_mean:NJ__FluTrends__inc,obs_real:NJ__FluTrends__inc
0,1,7024.18,1.23453,0.560687,0
0,2,2095.2,2513.56,539.997,575.913
0,3,252.03,2102.65,58.5068,53.5659
0,4,4748.96,1469.51,554.052,452.683
0,5,1474.32,2351.63,369.176,333.516
0,6,137.809,2011.57,29.1514,32.0658
0,7,8226.09,3559.46,1978.04,1796.27
0,8,3924.17,4623.58,1798.16,1772.55
0,9,1883.42,3740.98,799.946,863.922
0,10,1609.71,2995.49,532.073,595.971
0,11,1520.8,2602.4,427.61,515.561
0,12,1266.01,2213.2,300.037,299.896
0,13,1181.95,1930.58,240.678,308.358
0,14,1052.67,1692.91,186.248,198.26
0,15,980.989,1523.86,154.935,142.837
0,16,889.698,1339.53,122.446,124.563
0,17,842.806,1136.74,97.1477,67.2936
0,18,816.613,982.382,80.4867,77.3734
0,19,790.09,862.906,67.858,51.6489
0,20,769.422,825.432,63.0908,61.8058
0,21,723.221,786.259,56.4326,49.2359
0,22,687.336,786.627,53.7394,53.6219
0,23,642.56,733.792,46.7481,55.3591
0,24,619.829,726.822,44.6756,40.3269
0,25,584.663,673.26,38.9104,40.3064
0,26,568.966,625.899,35.0836,37.0958
0,27,553.947,571.708,31.0761,26.2744
0,28,544.881,514.137,27.3684,17.8835
0,29,537.74,535.424,28.1795,27.5266
0,30,515.881,511.66,25.7936,31.4745
0,31,503.16,514.709,25.3174,31.2252
0,32,487.353,501.653,23.878,32.1157
0,33,472.368,536.359,24.8155,30.8518
0,34,454.48,497.31,22.0676,18.4463
0,35,447.992,500.807,21.911,21.0646
0,36,433.664,509.507,21.5912,24.4832
0,37,413.252,599.755,24.3897,24.4336
0,38,371.378,699.865,25.7564,19.5593
0,39,344.929,871.944,30.1915,24.2758
0,40,271.332,989.749,27.0453,20.2421
0,41,358.056,1100.91,40.3526,47.806
0,42,24.8741,1124.03,1.2817,0
0,43,5358.86,2238.68,946.155,929.085
0,44,3890.57,2217.43,756.272,620.683
0,45,2597.3,1984.08,490.993,559.178
0,46,1738.46,1650.94,284.998,318.639
0,47,1662.76,1548.07,255.138,256.544
0,48,1585.29,1492.34,234.849,199.809
0,49,1455.2,1602.96,235.55,224.849
0,50,1203.49,1582.9,195.46,195.527
0,51,1091.79,1660.92,188.566,201.734
0,52,845.837,1803.92,162.977,191.679
0,53,754.821,2003.55,164.997,162.909
0,54,430.577,2073.94,99.2463,92.082
0,55,920.716,2205.02,222.71,174.127
0,56,23.7261,1790.65,1.97459,3.11621
0,57,6333.86,3387.76,1652.12,1790.19
0,58,3922.13,3491.89,1280.88,1414.18
0,59,2431.25,2866.11,711.501,753.964
0,60,1713.45,2249.52,399.949,420.333
0,61,1888.78,2025.18,385.537,325.606
0,62,1608.41,1840.94,300.833,346.8
0,63,1493.21,1797.94,274.216,256.44
0,64,1272.33,1692.73,221.746,202.267
0,65,1147.74,1574.59,186.008,206.244
0,66,1033.91,1495.02,159.315,158.209
0,67,924.271,1462.05,139.877,140.542
0,68,809.892,1503.57,127.301,147.126
0,69,682.085,1538.03,110.7,121.874
0,70,610.296,1494.23,96.1903,110.07
0,71,528.179,1441.94,80.2093,69.9294
0,72,496.139,1421.81,74.2216,93.5262
0,73,384.536,1365.37,54.9858,54.7466
0,74,478.945,1303.13,65.0513,62.8363
0,75,226.564,1159.46,26.6271,27.0184
0,76,858.203,1215.03,106.292,107.781
0,77,221.368,1042.37,23.1299,27.2995
0,78,757.303,965.062,73.4401,67.2952
0,79,338.64,815.931,27.599,31.8314
0,80,375.155,776.147,29.0393,34.0426
0,81,308.797,747.13,22.8636,27.1294
0,82,364.585,719.072,26.0129,26.528
0,83,290.619,670.831,19.1637,20.4619
0,84,353.682,684.71,23.9492,23.675
0,85,255.962,688.173,17.2579,16.5627
0,86,377.766,755.435,28.4154,30.9847
0,87,167.738,760.317,12.2485,11.8036
0,88,705.287,889.945,62.8484,45.5715
0,89,178.37,817.634,14.1443,12.2686
0,90,722.036,956.23,69.4439,80.8607
0,91,25.0029,1051.76,1.20365,1.69966
0,92,8900.61,2417.27,1345.08,1412.4
0,93,5727.96,3497.39,1621.8,1679.57
0,94,3548.17,3380.21,1150.36,1247.85
0,95,2125.71,2783.76,616.319,586.935
0,96,1854.94,2323.6,444.632,469.983
0,97,1694.33,1887.78,323.992,352.247
0,98,1735.17,1885.43,330.33,343.406
0,99,1400.71,1963.43,286.235,315.136
0,100,1170.28,1972.47,244.446,191.127
0,101,976.224,2241.96,239.869,182.695
0,102,594.33,2558.17,175.026,154.322
0,103,881.2,3251.54,342.424,336.781
0,104,21.5649,3182.9,3.27953,2.2355
0,105,3906.68,15322.1,9266.75,8564.38
0,106,684.1,10165.8,1522.93,1388.88
0,107,950.176,12371.6,2923.1,2942.21
0,108,15.685,8340.25,6.82982,8.47259
0,109,1171.42,13204.2,3880.3,3940.83
0,110,16.5356,7421.33,6.31623,4.61614
0,111,1498.21,8148.28,1983.66,1892.11
0,112,35.5678,4891.42,16.8464,20.1561
0,113,3262.14,5224.86,1857.81,1767.56
0,114,864.178,3954.68,432.768,433.116
0,115,1985.64,3182.2,684.105,633.885
0,116,385.194,2683.06,120.932,106.687
0,117,3421.97,3513.47,1174.16,1119.56
0,118,1534.1,2913.84,493.474,529.879
0,119,904.408,2208.25,219.383,248.287
0,120,1636.34,1962.55,328.436,305.986
0,121,1038.39,1588.38,171.165,176.088
0,122,1107.4,1480.71,168.023,145.061
0,123,933.486,1300.81,124.067,135.666
0,124,940.091,1234.21,117.896,116.181
