index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
73,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
74,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
75,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
76,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
77,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
78,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
79,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
80,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
81,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
82,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
83,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
84,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
85,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
86,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
87,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
88,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
89,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
90,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
91,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
92,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
93,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
94,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
95,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
96,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
97,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
98,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
99,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
100,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
101,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
102,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
103,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
104,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
105,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
106,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
107,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
108,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
109,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
110,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
111,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
112,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
113,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
114,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
115,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
116,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
117,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
118,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
119,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
120,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
121,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
122,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
123,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
124,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
125,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
126,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
127,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
128,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
129,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
130,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
131,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
132,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
133,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
134,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
135,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
136,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
137,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
