time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
63,1410.93,1613.01,1815.08,2559.98,2656.26,2752.54,904.063,947.943,991.824
64,1256.5,1429.18,1601.86,2427.66,2515.75,2603.84,820.27,856.234,892.197
65,1121.17,1271.1,1421.02,2346.05,2426.98,2507.91,802.672,833.14,863.608
66,997.485,1129.23,1260.98,2333.5,2408.86,2484.23,821.916,848.294,874.671
67,877.344,993.987,1110.63,2442.61,2514.18,2585.75,908.262,931.659,955.057
68,735.213,838.645,942.078,2545.33,2615.19,2685.06,946.291,967.73,989.169
69,651.594,742.801,834.007,2497.2,2565.82,2634.43,867.585,886.562,905.539
70,553.041,634.188,715.335,2437.07,2503.87,2570.68,829.969,846.761,863.554
71,519.874,592.22,664.567,2414.99,2479.66,2544.34,827.438,841.884,856.329
72,383.213,448.722,514.231,2353.72,2417.17,2480.61,784.537,798.018,811.5
73,501.532,559.831,618.131,2217.72,2279.11,2340.51,701.759,712.486,723.213
74,188.617,243.731,298.845,2036.47,2096.82,2157.18,612.38,624.381,636.382
75,959.856,1007.51,1055.16,1967.21,2023.54,2079.88,639.806,646.282,652.758
76,179.792,232.74,285.688,1826.79,1886.8,1946.82,574.724,592.452,610.179
77,805.428,852.161,898.893,1577.24,1631.36,1685.48,504.678,510.54,516.403
78,308.095,357.447,406.798,1402.36,1455.82,1509.27,401.761,414.926,428.09
79,349.291,396.358,443.425,1330.27,1378.63,1426.99,412.449,418.894,425.339
80,274.134,319.752,365.37,1292.25,1338.37,1384.49,398.207,404.857,411.507
81,337.012,380.771,424.53,1234.55,1279.2,1323.86,368.408,374.085,379.762
82,252.614,295.44,338.266,1160.9,1204.69,1248.48,333.48,339.641,345.802
83,324.98,366.447,407.915,1177.59,1219.88,1262.17,363.403,368.458,373.512
84,216.747,257.617,298.486,1198.85,1241.16,1283.48,373.94,379.762,385.583
85,358.478,397.936,437.395,1299.35,1341.5,1383.64,430.541,435.271,440
86,121.748,161.07,200.393,1342.51,1386.4,1430.3,432.235,438.748,445.26
87,745.88,782.585,819.29,1471.23,1515.16,1559.09,507.335,511.208,515.082
88,134.479,174.845,215.21,1440.13,1488.78,1537.44,465.977,477.588,489.199
89,772.69,810.264,847.839,1577.36,1623.83,1670.3,599.008,603.231,607.455
90,-230.763,-189.07,-147.378,1901.79,1952.64,2003.5,757.397,769.936,782.474
91,11084.8,11104.2,11123.7,1300.68,1351.64,1402.59,1494.75,1496.06,1497.37
92,8021.44,8389.11,8756.79,2516.1,2813.14,3110.18,1432.34,1653.98,1875.62
93,4867.05,5427.76,5988.47,3357.7,3715.1,4072.49,1550.21,1794.98,2039.75
94,2554.52,3120.24,3685.97,3546.36,3811.69,4077.01,1401.1,1567.85,1734.59
95,2122.07,2564.99,3007.91,3169.36,3335.49,3501.62,1201.04,1298.25,1395.46
96,1861.37,2204.49,2547.62,2659.53,2791.23,2922.92,820.583,892.44,964.297
97,1980.2,2255.85,2531.5,2661.02,2772.54,2884.06,998.518,1051.47,1104.43
98,1613.92,1848.24,2082.57,2911.07,3017.38,3123.68,1168.8,1221.28,1273.76
99,1351.74,1548.53,1745.32,3027.54,3127.59,3227.63,1157.93,1203.5,1249.07
100,1181.33,1346.84,1512.34,3546.82,3640.58,3734.34,1512.65,1551.72,1590.79
101,717.903,857.425,996.947,4279.98,4373.18,4466.38,1902.09,1939.84,1977.58
102,1314.34,1421.67,1529.01,5207.36,5298.17,5388.98,2379.58,2408.49,2437.4
103,-1404.96,-1295.52,-1186.08,5802.7,5910.13,6017.56,2492.98,2541.21,2589.45
104,19218.7,19231.4,19244.2,8178.84,8272.52,8366.21,8119.23,8121.55,8123.86
105,1650.96,3180.01,4709.05,14756.1,15738.8,16721.6,8782.23,9705.6,10629
106,5462.56,5765.53,6068.51,16648.7,16971.3,17294,14849.1,15129,15408.9
107,-2913.86,-2556.15,-2198.44,15149.9,15491,15832.2,6080.72,6331.92,6583.12
108,7563.82,7572.43,7581.04,16327.9,16531.9,16736,13563.2,13566.7,13570.2
109,-469.099,-11.531,446.037,13456.4,13783.6,14110.8,4318.71,4595.07,4871.42
110,4748.57,4757.58,4766.58,10751.6,10923.8,11096.1,6903.64,6906.98,6910.32
111,-299.663,36.4807,372.624,8788.97,9057.57,9326.16,2663.98,2866.93,3069.88
112,6295.73,6313.56,6331.4,5479.33,5609.8,5740.27,4726.33,4732.36,4738.4
113,1150.02,1554.3,1958.58,6099.97,6413.32,6726.68,2645.72,2889.66,3133.6
114,2853.23,3092.43,3331.62,4264.11,4407.99,4551.86,2576.26,2648.65,2721.04
115,314.596,558.623,802.649,4572.13,4724.36,4876.59,1986.46,2083.36,2180.27
116,5222.56,5340.94,5459.31,3812.42,3914.28,4016.13,2303.4,2328,2352.59
117,2035.35,2324.97,2614.59,4108.57,4331.88,4555.19,1695.52,1861.16,2026.81
118,985.667,1241.07,1496.46,3477.83,3623.12,3768.42,1313.12,1385.59,1458.07
119,1963.98,2153.85,2343.72,2821.96,2921.06,3020.15,1177.67,1214.73,1251.8
120,1116.59,1295.21,1473.84,2475.58,2574.57,2673.56,793.472,843.421,893.37
121,1206.02,1359.03,1512.04,2299,2380.86,2462.72,815.631,844.024,872.418
122,975.619,1112.26,1248.9,2068.15,2143.7,2219.24,664.019,691.547,719.075
123,987.474,1108.64,1229.81,1965.1,2033.4,2101.7,660.596,681.81,703.024
124,847.183,957.196,1067.21,1884.84,1949.62,2014.39,630.818,650.952,671.086
