index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
21,0.687489,9.98743e-06,1.03776e-05,1.03596,0.0803219,4.97177,79.4557,0.1,1,0.1,-24536.780664
22,0.687489,9.98743e-06,1.03776e-05,1.03596,0.0803219,4.97177,79.4557,0.1,1,0.1,-24536.780664
23,0.687489,9.98743e-06,1.03776e-05,1.03596,0.0803219,4.97177,79.4557,0.1,1,0.1,-24536.780664
24,0.687489,9.98743e-06,1.03776e-05,1.03596,0.0803219,4.97177,79.4557,0.1,1,0.1,-24536.780664
25,0.687489,9.98743e-06,1.03776e-05,1.03596,0.0803219,4.97177,79.4557,0.1,1,0.1,-24536.780664
26,0.688286,1.00683e-05,1.04205e-05,1.03589,0.0795001,4.97734,79.3849,0.1,1,0.1,-24519.269759
27,0.688286,1.00683e-05,1.04205e-05,1.03589,0.0795001,4.97734,79.3849,0.1,1,0.1,-24519.269759
28,0.688286,1.00683e-05,1.04205e-05,1.03589,0.0795001,4.97734,79.3849,0.1,1,0.1,-24519.269759
29,0.6846,1.00533e-05,1.02912e-05,1.02621,0.0790691,4.97804,79.5786,0.1,1,0.1,-24504.696047
30,0.6846,1.00533e-05,1.02912e-05,1.02621,0.0790691,4.97804,79.5786,0.1,1,0.1,-24504.696047
31,0.685501,1.01748e-05,1.02128e-05,1.01412,0.0783958,4.99663,79.5272,0.1,1,0.1,-24494.390305
32,0.685501,1.01748e-05,1.02128e-05,1.01412,0.0783958,4.99663,79.5272,0.1,1,0.1,-24494.390305
33,0.685501,1.01748e-05,1.02128e-05,1.01412,0.0783958,4.99663,79.5272,0.1,1,0.1,-24494.390305
34,0.685501,1.01748e-05,1.02128e-05,1.01412,0.0783958,4.99663,79.5272,0.1,1,0.1,-24494.390305
35,0.682552,1.02782e-05,1.03584e-05,1.01235,0.0781749,4.99475,79.4367,0.1,1,0.1,-24485.404646
36,0.684932,1.03275e-05,1.03939e-05,1.01805,0.078109,4.97451,79.3549,0.1,1,0.1,-24484.582050
37,0.686926,1.01739e-05,1.0389e-05,1.02731,0.0775205,4.96049,79.2447,0.1,1,0.1,-24469.573353
38,0.686926,1.01739e-05,1.0389e-05,1.02731,0.0775205,4.96049,79.2447,0.1,1,0.1,-24469.573353
39,0.686926,1.01739e-05,1.0389e-05,1.02731,0.0775205,4.96049,79.2447,0.1,1,0.1,-24469.573353
40,0.686926,1.01739e-05,1.0389e-05,1.02731,0.0775205,4.96049,79.2447,0.1,1,0.1,-24469.573353
41,0.684716,1.01396e-05,1.0417e-05,1.01789,0.0773865,4.9698,79.3413,0.1,1,0.1,-24466.926863
42,0.684716,1.01396e-05,1.0417e-05,1.01789,0.0773865,4.9698,79.3413,0.1,1,0.1,-24466.926863
43,0.680423,1.00659e-05,1.03763e-05,1.02292,0.0759447,4.96597,79.4133,0.1,1,0.1,-24431.641269
44,0.680423,1.00659e-05,1.03763e-05,1.02292,0.0759447,4.96597,79.4133,0.1,1,0.1,-24431.641269
45,0.680423,1.00659e-05,1.03763e-05,1.02292,0.0759447,4.96597,79.4133,0.1,1,0.1,-24431.641269
46,0.680423,1.00659e-05,1.03763e-05,1.02292,0.0759447,4.96597,79.4133,0.1,1,0.1,-24431.641269
47,0.680765,1.00374e-05,1.03571e-05,1.03287,0.075664,4.93988,79.4801,0.1,1,0.1,-24421.983507
48,0.680765,1.00374e-05,1.03571e-05,1.03287,0.075664,4.93988,79.4801,0.1,1,0.1,-24421.983507
49,0.680765,1.00374e-05,1.03571e-05,1.03287,0.075664,4.93988,79.4801,0.1,1,0.1,-24421.983507
50,0.674645,1.00801e-05,1.05048e-05,1.02977,0.0755245,4.93551,79.5733,0.1,1,0.1,-24416.213382
51,0.674645,1.00801e-05,1.05048e-05,1.02977,0.0755245,4.93551,79.5733,0.1,1,0.1,-24416.213382
52,0.682579,1.02668e-05,1.04397e-05,1.04649,0.0740805,4.93488,79.6912,0.1,1,0.1,-24402.158572
53,0.682579,1.02668e-05,1.04397e-05,1.04649,0.0740805,4.93488,79.6912,0.1,1,0.1,-24402.158572
54,0.676335,1.04067e-05,1.0595e-05,1.03479,0.0736953,4.90899,79.879,0.1,1,0.1,-24388.868752
55,0.676335,1.04067e-05,1.0595e-05,1.03479,0.0736953,4.90899,79.879,0.1,1,0.1,-24388.868752
56,0.676335,1.04067e-05,1.0595e-05,1.03479,0.0736953,4.90899,79.879,0.1,1,0.1,-24388.868752
57,0.676335,1.04067e-05,1.0595e-05,1.03479,0.0736953,4.90899,79.879,0.1,1,0.1,-24388.868752
58,0.676335,1.04067e-05,1.0595e-05,1.03479,0.0736953,4.90899,79.879,0.1,1,0.1,-24388.868752
59,0.668516,1.03407e-05,1.05869e-05,1.06783,0.0704431,4.92434,79.8284,0.1,1,0.1,-24292.001327
60,0.668516,1.03407e-05,1.05869e-05,1.06783,0.0704431,4.92434,79.8284,0.1,1,0.1,-24292.001327
61,0.665759,1.07339e-05,1.05309e-05,1.09621,0.0693977,4.88874,79.814,0.1,1,0.1,-24246.625822
