index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
0,0.07,0.07,1e-05,20,20,11,0.1,0.6,0.1,0.1,-5808.385580
1,0.07,0.07,1e-05,20.0997,20.1132,11,0.1,0.60019,0.1,0.1,-5714.776160
2,0.07,0.07,1.00089e-05,20.2408,20.2984,10.8519,0.1,0.599835,0.1,0.1,-5468.411849
3,0.07,0.07,1.00089e-05,20.2408,20.326,10.8519,0.1,0.599088,0.1,0.1,-5459.107558
4,0.07,0.07,1.01247e-05,20.2876,20.4373,10.8356,0.1,0.599088,0.1,0.1,-5365.370579
5,0.07,0.07,1.01247e-05,20.3715,20.4373,10.8356,0.1,0.599313,0.1,0.1,-5300.761296
6,0.07,0.07,1.01763e-05,20.4146,20.4373,10.8356,0.1,0.598072,0.1,0.1,-5257.953100
7,0.07,0.07,1.02433e-05,20.4146,20.4373,10.5038,0.1,0.597943,0.1,0.1,-4885.019514
8,0.07,0.07,1.02433e-05,20.5225,20.4373,10.1901,0.1,0.597943,0.1,0.1,-4336.343230
9,0.07,0.07,1.02433e-05,20.5225,20.4373,9.69851,0.1,0.597119,0.1,0.1,-3675.338701
10,0.07,0.07,1.02797e-05,20.6382,20.4373,9.61658,0.1,0.597119,0.1,0.1,-3488.399293
11,0.07,0.07,1.02965e-05,20.6382,20.4373,9.42184,0.1,0.597119,0.1,0.1,-3294.202233
12,0.07,0.07,1.02965e-05,20.6599,20.4373,9.42184,0.1,0.597119,0.1,0.1,-3286.393758
13,0.07,0.07,1.04211e-05,20.8775,20.4373,9.42184,0.1,0.59726,0.1,0.1,-3245.996571
14,0.07,0.07,1.04211e-05,20.8558,20.521,9.42184,0.1,0.596879,0.1,0.1,-3201.035515
15,0.07,0.07,1.05088e-05,20.8558,20.6457,9.24122,0.1,0.597567,0.1,0.1,-3064.857642
16,0.07,0.07,1.03545e-05,20.6844,20.7853,9.06492,0.1,0.597143,0.1,0.1,-2930.293081
17,0.07,0.07,1.03281e-05,20.6684,20.7853,9.06492,0.1,0.597766,0.1,0.1,-2923.658153
18,0.07,0.07,1.03281e-05,20.6684,20.7853,9.06492,0.1,0.597086,0.1,0.1,-2922.858596
19,0.07,0.07,1.02153e-05,20.6684,20.7853,9.08108,0.1,0.597086,0.1,0.1,-2921.384986
20,0.07,0.07,1.0229e-05,20.6684,20.7853,9.08108,0.1,0.596993,0.1,0.1,-2921.358059
21,0.07,0.07,1.01167e-05,20.6684,20.8187,9.08108,0.1,0.596993,0.1,0.1,-2906.406028
22,0.07,0.07,1.0115e-05,20.6684,20.8769,9.08108,0.1,0.597526,0.1,0.1,-2883.075121
23,0.07,0.07,1.00698e-05,20.6056,20.8769,9.03467,0.1,0.597304,0.1,0.1,-2861.412004
24,0.07,0.07,1.00363e-05,20.6056,20.9152,9.03467,0.1,0.597343,0.1,0.1,-2846.260564
25,0.07,0.07,9.94944e-06,20.6056,20.9152,9.03467,0.1,0.596609,0.1,0.1,-2844.894211
26,0.07,0.07,9.96732e-06,20.6056,20.9152,9.03467,0.1,0.596609,0.1,0.1,-2844.965069
27,0.07,0.07,9.94856e-06,20.5784,21.1303,9.03467,0.1,0.596609,0.1,0.1,-2758.415898
28,0.07,0.07,9.8661e-06,20.5255,21.127,8.95275,0.1,0.596609,0.1,0.1,-2739.772900
29,0.07,0.07,9.82274e-06,20.4922,21.1633,8.95275,0.1,0.596174,0.1,0.1,-2716.635613
30,0.07,0.07,9.80045e-06,20.4922,21.215,8.95275,0.1,0.595969,0.1,0.1,-2697.669954
31,0.07,0.07,9.87152e-06,20.4542,21.2447,8.93565,0.1,0.596291,0.1,0.1,-2678.277379
32,0.07,0.07,9.89207e-06,20.4542,21.2447,8.93565,0.1,0.596648,0.1,0.1,-2678.621397
33,0.07,0.07,9.89207e-06,20.3807,21.2447,8.92626,0.1,0.596648,0.1,0.1,-2668.859232
34,0.07,0.07,9.89207e-06,20.3807,21.4085,8.88029,0.1,0.598052,0.1,0.1,-2612.994647
35,0.07,0.07,9.82954e-06,20.3807,21.4085,8.88029,0.1,0.597856,0.1,0.1,-2612.641517
