time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
1,70242.2,70242.2,70242.2,70235.7,70235.7,70235.7,9.3542,9.3542,9.3542,14.2502,14.2502,14.2502,8.5033,8.5033,8.5033,8.5033,8.5033,8.5033,9.4544,9.4544,9.4544,5.76043,5.76043,5.76043
2,70480.6,70480.6,70480.6,70453.1,70453.1,70453.1,13.3082,13.3082,13.3082,31.2158,31.2158,31.2158,15.6552,15.6552,15.6552,15.6552,15.6552,15.6552,20.7793,20.7793,20.7793,8.19584,8.19584,8.19584
3,70713.4,70713.4,70713.4,70629.2,70629.2,70629.2,19.0112,19.0112,19.0112,69.1728,69.1728,69.1728,30.3409,30.3409,30.3409,30.3409,30.3409,30.3409,46.1531,46.1531,46.1531,11.7086,11.7086,11.7086
4,70938.4,70938.4,70938.4,70712.9,70712.9,70712.9,27.2661,27.2661,27.2661,154.537,154.537,154.537,61.4588,61.4588,61.4588,61.4588,61.4588,61.4588,103.262,103.262,103.262,16.7935,16.7935,16.7935
5,71151.8,71151.8,71151.8,70588.7,70588.7,70588.7,39.2544,39.2544,39.2544,346.437,346.437,346.437,128.779,128.779,128.779,128.779,128.779,128.779,231.614,231.614,231.614,24.1783,24.1783,24.1783
6,71348.4,71348.4,71348.4,70004,70004,70004,56.7157,56.7157,56.7157,772.761,772.761,772.761,275.443,275.443,275.443,275.443,275.443,275.443,516.127,516.127,516.127,34.9351,34.9351,34.9351
7,71520.7,71520.7,71520.7,68439.1,68439.1,68439.1,82.2098,82.2098,82.2098,1686.16,1686.16,1686.16,590.271,590.271,590.271,590.271,590.271,590.271,1121.65,1121.65,1121.65,50.6409,50.6409,50.6409
8,71657.1,71657.1,71657.1,64983.5,64983.5,64983.5,119.492,119.492,119.492,3479.43,3479.43,3479.43,1229.84,1229.84,1229.84,1229.84,1229.84,1229.84,2289.79,2289.79,2289.79,73.6094,73.6094,73.6094
9,71741.4,71741.4,71741.4,58584.7,58584.7,58584.7,174.036,174.036,174.036,6405.08,6405.08,6405.08,2370.66,2370.66,2370.66,2370.66,2370.66,2370.66,4108.15,4108.15,4108.15,107.214,107.214,107.214
10,71749.4,71749.4,71749.4,49246.9,49246.9,49246.9,253.738,253.738,253.738,9770.62,9770.62,9770.62,3946.94,3946.94,3946.94,3946.94,3946.94,3946.94,5924.19,5924.19,5924.19,156.32,156.32,156.32
11,71646.6,71646.6,71646.6,39087.2,39087.2,39087.2,369.766,369.766,369.766,11781.1,11781.1,11781.1,5338.57,5338.57,5338.57,5338.57,5338.57,5338.57,6432.63,6432.63,6432.63,227.811,227.811,227.811
12,71384.2,71384.2,71384.2,30683.9,30683.9,30683.9,537.442,537.442,537.442,11405.9,11405.9,11405.9,5794.31,5794.31,5794.31,5794.31,5794.31,5794.31,5348.41,5348.41,5348.41,331.128,331.128,331.128
