time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
12,71370.9,71370.9,71370.9,26987.9,26987.9,26987.9,590.444,590.444,590.444,13450.8,13450.8,13450.8,5762.31,5762.31,5762.31,5762.31,5762.31,5762.31,5376.17,5376.17,5376.17,338.02,338.02,338.02
13,70841.1,70841.1,70841.1,20868,20868,20868,865.662,865.662,865.662,11135.3,11135.3,11135.3,5271.31,5271.31,5271.31,5271.31,5271.31,5271.31,3655.62,3655.62,3655.62,495.568,495.568,495.568
14,69965,69965,69965,17149.7,17149.7,17149.7,1255.8,1255.8,1255.8,8300.72,8300.72,8300.72,4326.17,4326.17,4326.17,4326.17,4326.17,4326.17,2280.99,2280.99,2280.99,718.896,718.896,718.896
15,68620.3,68620.3,68620.3,14982.1,14982.1,14982.1,1791.42,1791.42,1791.42,5813.66,5813.66,5813.66,3424.46,3424.46,3424.46,3424.46,3424.46,3424.46,1393.36,1393.36,1393.36,1025.51,1025.51,1025.51
16,66677.1,66677.1,66677.1,13751.4,13751.4,13751.4,2492.55,2492.55,2492.55,3928.06,3928.06,3928.06,2791.98,2791.98,2791.98,2791.98,2791.98,2791.98,857.133,857.133,857.133,1426.85,1426.85,1426.85
17,64030.7,64030.7,64030.7,13082.9,13082.9,13082.9,3348.98,3348.98,3348.98,2601.34,2601.34,2601.34,2464.24,2464.24,2464.24,2464.24,2464.24,2464.24,535.307,535.307,535.307,1917.09,1917.09,1917.09
18,60654.2,60654.2,60654.2,12756.6,12756.6,12756.6,4297.36,4297.36,4297.36,1704.78,1704.78,1704.78,2387.98,2387.98,2387.98,2387.98,2387.98,2387.98,339.437,339.437,339.437,2459.98,2459.98,2459.98
19,56650.7,56650.7,56650.7,12642.3,12642.3,12642.3,5211.24,5211.24,5211.24,1112.11,1112.11,1112.11,2472.03,2472.03,2472.03,2472.03,2472.03,2472.03,218.053,218.053,218.053,2983.13,2983.13,2983.13
20,52266.6,52266.6,52266.6,12661.6,12661.6,12661.6,5925.64,5925.64,5925.64,724.825,724.825,724.825,2610.82,2610.82,2610.82,2610.82,2610.82,2610.82,141.583,141.583,141.583,3392.1,3392.1,3392.1
21,47838.7,47838.7,47838.7,12766.2,12766.2,12766.2,6297.45,6297.45,6297.45,473.078,473.078,473.078,2706.4,2706.4,2706.4,2706.4,2706.4,2706.4,92.7524,92.7524,92.7524,3604.98,3604.98,3604.98
22,43694,43694,43694,12925.7,12925.7,12925.7,6267.07,6267.07,6267.07,309.668,309.668,309.668,2693.18,2693.18,2693.18,2693.18,2693.18,2693.18,61.2289,61.2289,61.2289,3587.61,3587.61,3587.61
23,40062.9,40062.9,40062.9,13121.1,13121.1,13121.1,5876.8,5876.8,5876.8,203.492,203.492,203.492,2552.48,2552.48,2552.48,2552.48,2552.48,2552.48,40.6952,40.6952,40.6952,3364.21,3364.21,3364.21
24,37049.2,37049.2,37049.2,13340,13340,13340,5238.5,5238.5,5238.5,134.325,134.325,134.325,2306.77,2306.77,2306.77,2306.77,2306.77,2306.77,27.2179,27.2179,27.2179,2998.81,2998.81,2998.81
25,34652.3,34652.3,34652.3,13574.4,13574.4,13574.4,4481.15,4481.15,4481.15,89.1063,89.1063,89.1063,1999.55,1999.55,1999.55,1999.55,1999.55,1999.55,18.3125,18.3125,18.3125,2565.25,2565.25,2565.25
