time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
1,70243.4,70243.4,70243.4,70237.1,70237.1,70237.1,8.55942,8.55942,8.55942,13.4248,13.4248,13.4248,6.56436,6.56436,6.56436,6.56436,6.56436,6.56436,7.97642,7.97642,7.97642,4.89945,4.89945,4.89945
2,70483.3,70483.3,70483.3,70456.4,70456.4,70456.4,12.4033,12.4033,12.4033,30.5522,30.5522,30.5522,12.5336,12.5336,12.5336,12.5336,12.5336,12.5336,18.1736,18.1736,18.1736,7.0995,7.0995,7.0995
3,70718,70718,70718,70634.7,70634.7,70634.7,18.039,18.039,18.039,69.8401,69.8401,69.8401,25.142,25.142,25.142,25.142,25.142,25.142,41.5862,41.5862,41.5862,10.325,10.325,10.325
4,70945.2,70945.2,70945.2,70719,70719,70719,26.3284,26.3284,26.3284,160.137,160.137,160.137,52.5445,52.5445,52.5445,52.5445,52.5445,52.5445,95.4258,95.4258,95.4258,15.0692,15.0692,15.0692
5,71161.3,71161.3,71161.3,70587.7,70587.7,70587.7,38.5581,38.5581,38.5581,367.134,367.134,367.134,113.192,113.192,113.192,113.192,113.192,113.192,218.807,218.807,218.807,22.0684,22.0684,22.0684
6,71361,71361,71361,69970,69970,69970,56.6494,56.6494,56.6494,835.512,835.512,835.512,248.11,248.11,248.11,248.11,248.11,248.11,497.34,497.34,497.34,32.422,32.422,32.422
7,71536.3,71536.3,71536.3,68298.8,68298.8,68298.8,83.4698,83.4698,83.4698,1857.45,1857.45,1857.45,543.537,543.537,543.537,543.537,543.537,543.537,1100.74,1100.74,1100.74,47.7709,47.7709,47.7709
8,71675.5,71675.5,71675.5,64559,64559,64559,123.288,123.288,123.288,3902.52,3902.52,3902.52,1155.75,1155.75,1155.75,1155.75,1155.75,1155.75,2285.41,2285.41,2285.41,70.5575,70.5575,70.5575
9,71761.1,71761.1,71761.1,57546.8,57546.8,57546.8,182.42,182.42,182.42,7308.93,7308.93,7308.93,2270.5,2270.5,2270.5,2270.5,2270.5,2270.5,4159.7,4159.7,4159.7,104.397,104.397,104.397
10,71767.3,71767.3,71767.3,47235,47235,47235,270.118,270.118,270.118,11319.7,11319.7,11319.7,3844.19,3844.19,3844.19,3844.19,3844.19,3844.19,6049.9,6049.9,6049.9,154.581,154.581,154.581
11,71656.2,71656.2,71656.2,36040.9,36040.9,36040.9,399.683,399.683,399.683,13804.7,13804.7,13804.7,5267.48,5267.48,5267.48,5267.48,5267.48,5267.48,6556.33,6556.33,6556.33,228.723,228.723,228.723
12,71374,71374,71374,26921.2,26921.2,26921.2,589.676,589.676,589.676,13460.8,13460.8,13460.8,5764.05,5764.05,5764.05,5764.05,5764.05,5764.05,5370.18,5370.18,5370.18,337.442,337.442,337.442
13,70845.3,70845.3,70845.3,20813.3,20813.3,20813.3,864.717,864.717,864.717,11134.2,11134.2,11134.2,5268.03,5268.03,5268.03,5268.03,5268.03,5268.03,3647.18,3647.18,3647.18,494.825,494.825,494.825
14,69970.3,69970.3,69970.3,17105.5,17105.5,17105.5,1254.71,1254.71,1254.71,8294.93,8294.93,8294.93,4320.5,4320.5,4320.5,4320.5,4320.5,4320.5,2274.06,2274.06,2274.06,717.982,717.982,717.982
15,68626.9,68626.9,68626.9,14945.3,14945.3,14945.3,1790.32,1790.32,1790.32,5807.15,5807.15,5807.15,3418.51,3418.51,3418.51,3418.51,3418.51,3418.51,1388.56,1388.56,1388.56,1024.46,1024.46,1024.46
16,66684.9,66684.9,66684.9,13719.5,13719.5,13719.5,2491.67,2491.67,2491.67,3922.48,3922.48,3922.48,2786.71,2786.71,2786.71,2786.71,2786.71,2786.71,853.985,853.985,853.985,1425.77,1425.77,1425.77
17,64039.2,64039.2,64039.2,13054.2,13054.2,13054.2,3348.75,3348.75,3348.75,2597.07,2597.07,2597.07,2459.91,2459.91,2459.91,2459.91,2459.91,2459.91,533.269,533.269,533.269,1916.19,1916.19,1916.19
