index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
3637,0.07,0.07,6.54536e-06,21.489,30.3842,9.8067,0.1,0.572463,0.1,0.1,-828.684040
3638,0.07,0.07,6.54536e-06,21.489,30.3842,9.8067,0.1,0.572463,0.1,0.1,-828.684040
3639,0.07,0.07,5.96271e-06,21.7808,30.9285,9.9776,0.1,0.569725,0.1,0.1,-829.069322
3640,0.07,0.07,5.96271e-06,21.7808,30.9285,9.9776,0.1,0.569725,0.1,0.1,-829.069322
3641,0.07,0.07,6.06423e-06,21.8814,31.0645,10.1063,0.1,0.569649,0.1,0.1,-826.926149
3642,0.07,0.07,6.06423e-06,21.8814,31.0645,10.1063,0.1,0.569649,0.1,0.1,-826.926149
3643,0.07,0.07,6.06423e-06,21.8814,31.0645,10.1063,0.1,0.569649,0.1,0.1,-826.926149
3644,0.07,0.07,5.75203e-06,21.9441,31.1745,10.1136,0.1,0.569419,0.1,0.1,-827.496544
3645,0.07,0.07,5.80041e-06,21.8195,30.99,10.0111,0.1,0.572575,0.1,0.1,-825.946113
3646,0.07,0.07,6.11665e-06,21.6228,30.5579,9.87898,0.1,0.574951,0.1,0.1,-826.061164
3647,0.07,0.07,5.8723e-06,21.71,30.7107,9.93504,0.1,0.567605,0.1,0.1,-826.478323
3648,0.07,0.07,5.85917e-06,21.8881,31.0072,10.123,0.1,0.556992,0.1,0.1,-827.821809
3649,0.07,0.07,5.85917e-06,21.8881,31.0072,10.123,0.1,0.556992,0.1,0.1,-827.821809
3650,0.07,0.07,5.85917e-06,21.8881,31.0072,10.123,0.1,0.556992,0.1,0.1,-827.821809
3651,0.07,0.07,5.85917e-06,21.8881,31.0072,10.123,0.1,0.556992,0.1,0.1,-827.821809
3652,0.07,0.07,5.9671e-06,21.8123,30.9174,10.0319,0.1,0.560373,0.1,0.1,-828.228004
3653,0.07,0.07,5.79551e-06,21.8506,30.914,10.0412,0.1,0.564476,0.1,0.1,-828.331099
3654,0.07,0.07,5.79551e-06,21.8506,30.914,10.0412,0.1,0.564476,0.1,0.1,-828.331099
3655,0.07,0.07,6.11125e-06,21.8326,30.9191,10.0682,0.1,0.565026,0.1,0.1,-827.472742
3656,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3657,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3658,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
3659,0.07,0.07,6.06899e-06,21.7368,30.7574,10.0049,0.1,0.564981,0.1,0.1,-826.230579
