time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
1,70243.4,70243.4,70243.4,70237.1,70237.1,70237.1,8.56583,8.56583,8.56583,13.4273,13.4273,13.4273,6.58712,6.58712,6.58712,6.58712,6.58712,6.58712,7.99376,7.99376,7.99376,4.91058,4.91058,4.91058
2,70483.3,70483.3,70483.3,70456.4,70456.4,70456.4,12.4111,12.4111,12.4111,30.5374,30.5374,30.5374,12.5705,12.5705,12.5705,12.5705,12.5705,12.5705,18.2008,18.2008,18.2008,7.11482,7.11482,7.11482
3,70718,70718,70718,70634.8,70634.8,70634.8,18.0483,18.0483,18.0483,69.759,69.759,69.759,25.2003,25.2003,25.2003,25.2003,25.2003,25.2003,41.6203,41.6203,41.6203,10.3461,10.3461,10.3461
4,70945.2,70945.2,70945.2,70719.2,70719.2,70719.2,26.339,26.339,26.339,159.843,159.843,159.843,52.6304,52.6304,52.6304,52.6304,52.6304,52.6304,95.4398,95.4398,95.4398,15.0984,15.0984,15.0984
5,71161.2,71161.2,71161.2,70588.7,70588.7,70588.7,38.5695,38.5695,38.5695,366.215,366.215,366.215,113.297,113.297,113.297,113.297,113.297,113.297,218.694,218.694,218.694,22.1088,22.1088,22.1088
6,71360.8,71360.8,71360.8,69973.4,69973.4,69973.4,56.6599,56.6599,56.6599,832.886,832.886,832.886,248.162,248.162,248.162,248.162,248.162,248.162,496.768,496.768,496.768,32.4779,32.4779,32.4779
7,71536.1,71536.1,71536.1,68308.3,68308.3,68308.3,83.4764,83.4764,83.4764,1850.57,1850.57,1850.57,543.297,543.297,543.297,543.297,543.297,543.297,1098.88,1098.88,1098.88,47.8483,47.8483,47.8483
8,71675.2,71675.2,71675.2,64582.6,64582.6,64582.6,123.285,123.285,123.285,3886.66,3886.66,3886.66,1154.66,1154.66,1154.66,1154.66,1154.66,1154.66,2280.86,2280.86,2280.86,70.6647,70.6647,70.6647
9,71760.7,71760.7,71760.7,57594.6,57594.6,57594.6,182.396,182.396,182.396,7279.56,7279.56,7279.56,2267.93,2267.93,2267.93,2267.93,2267.93,2267.93,4152.25,4152.25,4152.25,104.544,104.544,104.544
10,71766.7,71766.7,71766.7,47307.9,47307.9,47307.9,270.054,270.054,270.054,11281.1,11281.1,11281.1,3841.06,3841.06,3841.06,3841.06,3841.06,3841.06,6044.85,6044.85,6044.85,154.784,154.784,154.784
