index,time,S:city1__all,S:city2__all,I:city1__all,I:city2__all,obs_mean:all__CDC__inc,obs_mean:all__google__inc,obs_mean:city2__CDC__inc,obs_mean:city1__CDC__prev,obs_real:all__CDC__inc,obs_real:all__google__inc,obs_real:city2__CDC__inc,obs_real:city1__CDC__prev
0,52,32559.1,20670.8,6.84575,0.0112274,3.06674,3.06674,0.00326259,3.92002,4.94708,3.79045,0,4.34921
0,51,32301.6,20406.4,8.42817,0.0145261,3.78363,3.78363,0.00417926,4.82615,5.77503,2.19036,0,3.04744
0,50,32044.9,20141.9,10.4172,0.0189021,4.68648,4.68648,0.00538336,5.96509,4.42319,6.40915,0.0889957,5.69345
0,49,31789.2,19877.3,12.926,0.0247379,5.82752,5.82752,0.00697303,7.40171,4.62446,8.11764,0.0971515,8.75643
0,48,31534.7,19612.6,16.1017,0.0325617,7.27463,7.27463,0.00908245,9.22015,5.50333,11.2076,0.0338957,11.4435
0,47,31281.9,19347.9,20.1353,0.0431065,9.11632,9.11632,0.0118959,11.5299,10.9941,7.35762,0,13.1538
0,46,31031,19083.1,25.2763,0.0573947,11.4682,11.4682,0.0156675,14.4738,14.5466,12.112,0,10.525
0,45,30782.8,18818.3,31.8511,0.0768588,14.4818,14.4818,0.0207497,18.2386,14.898,13.666,0.111451,14.522
0,44,30537.8,18553.3,40.2875,0.103516,18.356,18.356,0.0276331,23.0695,21.8627,17.9119,0.0832468,27.8977
0,43,30297.2,18288.4,51.1476,0.140223,23.3526,23.3526,0.0370043,29.2882,24.342,18.9312,0.0166417,32.6027
0,42,30061.9,18023.3,65.1716,0.19104,29.8165,29.8165,0.0498285,37.3186,28.9863,29.1626,0.0563399,41.9133
0,41,29833.8,17758.3,83.3351,0.261774,38.2032,38.2032,0.0674689,47.7194,30.8655,37.2183,0,49.6872
0,40,29614.7,17493.1,106.925,0.360764,49.1137,49.1137,0.0918602,61.2277,51.6089,42.3949,0.118368,52.112
0,39,29407.4,17228,137.641,0.500053,63.3414,63.3414,0.125761,78.8161,45.8197,65.2569,0.00760108,81.2533
0,38,29215.5,16962.8,177.722,0.697118,81.9322,81.9322,0.173125,101.767,87.9649,96.2891,0.0548913,111.829
0,37,29043.4,16697.7,230.113,0.977445,106.261,106.261,0.239642,131.768,115.482,88.6625,0.518047,159.508
0,36,28897.5,16432.5,298.676,1.3784,138.124,138.124,0.333544,171.028,145.891,128.75,0.00691993,164.65
0,35,28785.5,16167.5,388.436,1.95503,179.854,179.854,0.466796,222.427,145.437,179.964,0,217.554
0,34,28718.3,15902.7,505.87,2.78885,234.44,234.44,0.656877,289.672,216.835,260.201,0.777262,300.998
0,33,28709.8,15638.1,659.202,4.0012,305.644,305.644,0.929436,377.473,289.179,311.443,0.69548,314.817
0,32,28778.5,15373.9,858.638,5.77358,398.078,398.078,1.3223,491.674,369.63,359.806,1.8956,556.206
0,31,28948.8,15110.3,1116.41,8.37885,517.154,517.154,1.89155,639.281,479.07,510.388,3.36016,638.305
0,30,29252.6,14847.7,1446.4,12.2293,668.805,668.805,2.72067,828.24,758.049,620.931,2.39396,854.736
0,29,29731.6,14586.4,1862.88,17.9508,858.753,858.753,3.93468,1066.72,747.567,874.225,4.47697,1161.96
0,28,30439,14327.2,2377.84,26.4984,1091.07,1091.07,5.72162,1361.6,1165.76,969.86,6.0758,1413.95
0,27,31441.7,14071,2996.08,39.3352,1365.72,1365.72,8.36595,1715.62,1263.13,1276.02,8.61464,1902.63
0,26,32820,13819.4,3707.51,58.7131,1675.11,1675.11,12.3002,2123,1381.18,1673.13,13.2455,2255.35
0,25,34664.1,13574.5,4476.98,88.1106,2000.1,2000.1,18.1863,2563.61,2016.38,1901.41,20.4661,2425.71
0,24,37062.5,13339.9,5234.48,132.917,2307.58,2307.58,27.0434,2997.37,2057.38,2734.84,22.816,3152.45
0,23,40078.7,13120.7,5872.75,201.5,2553.27,2553.27,40.453,3362.86,2401.46,2668.51,43.1797,3666.41
0,22,43713.2,12924.9,6262.48,306.854,2693.5,2693.5,60.891,3586.03,2440.57,2243.12,77.7704,3634.14
0,21,47861.5,12764.7,6291.7,469.111,2705.72,2705.72,92.2785,3602.76,2825.71,2087.53,87.046,3474.14
0,20,52292.2,12659.3,5918.35,719.265,2608.79,2608.79,140.913,3388.97,2591.57,2770.05,143.985,3397
0,19,56677.3,12638.8,5202.66,1104.39,2468.55,2468.55,217.096,2979.15,2283.82,2436.76,198.818,3281.5
0,18,60679.5,12751.3,4288.32,1694.23,2383.25,2383.25,338.054,2455.58,1700.33,2363.59,338.569,1883.29
0,17,64052.8,13075.2,3340.49,2587.29,2458.57,2458.57,533.282,1912.84,2325.92,2690.8,523.503,1557.5
0,16,66695,13740.1,2485.33,3910.15,2785.84,2785.84,854.15,1423.15,2738.54,2121.88,689.658,1771.51
0,15,68634,14965.6,1785.75,5792.46,3418.69,3418.69,1389.05,1022.56,3531.81,2908.4,1279.99,876.05
0,14,69974.9,17125.7,1251.57,8278.85,4322.37,4322.37,2275.32,716.677,4507.66,4654.42,2367.59,658.583
0,13,70848.2,20834.3,862.635,11118.4,5271.68,5271.68,3650.15,493.963,5104.59,4343.39,3223.8,404.813
0,12,71375.9,26945.1,588.325,13446.1,5767.88,5767.88,5375.45,336.887,6396.48,6668.85,6244.44,285.324
0,11,71657.4,36071,398.818,13788.6,5268.44,5268.44,6560.55,228.371,5997.7,5436.26,6971.84,242.624
0,10,71768,47269.3,269.568,11300.2,3841.76,3841.76,6047.72,154.36,4145.42,4519.34,6197.6,149.473
0,9,71761.6,57575,182.071,7291.1,2267.51,2267.51,4153.57,104.258,2497.87,2175.2,3886.25,102.998
0,8,71675.8,64575.2,123.065,3891.5,1153.95,1153.95,2280.66,70.4697,1355.16,1155.42,2493.99,77.8382
