index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
0,0.07,0.07,1e-05,20,20,11,0.1,0.6,0.1,0.1,-5808.385580
1,0.07,0.07,1.00483e-05,20,20.0616,11,0.1,0.6,0.1,0.1,-5787.670906
2,0.07,0.07,1.00483e-05,20,20.1792,11,0.1,0.599678,0.1,0.1,-5758.278994
3,0.07,0.07,1.00855e-05,20,20.1792,11,0.1,0.599297,0.1,0.1,-5754.714584
4,0.07,0.07,1.00855e-05,20.0144,20.1792,10.8718,0.1,0.599297,0.1,0.1,-5659.286494
5,0.07,0.07,1.02653e-05,20.0482,20.2093,10.8718,0.1,0.598952,0.1,0.1,-5607.025592
6,0.07,0.07,1.02653e-05,20.0482,20.2093,10.8718,0.1,0.598952,0.1,0.1,-5607.025592
7,0.07,0.07,1.03808e-05,20.0482,20.3226,10.8718,0.1,0.598952,0.1,0.1,-5562.496510
8,0.07,0.07,1.03808e-05,20.0482,20.3226,10.8718,0.1,0.598555,0.1,0.1,-5561.855997
9,0.07,0.07,1.05225e-05,20.1484,20.393,10.8467,0.1,0.598479,0.1,0.1,-5444.071057
10,0.07,0.07,1.05398e-05,20.2661,20.393,10.8467,0.1,0.598903,0.1,0.1,-5358.419960
11,0.07,0.07,1.05642e-05,20.2661,20.4692,10.7216,0.1,0.597074,0.1,0.1,-5203.423000
12,0.07,0.07,1.05642e-05,20.2709,20.6187,10.7145,0.1,0.596,0.1,0.1,-5135.147046
13,0.07,0.07,1.05642e-05,20.2707,20.6187,10.5841,0.1,0.595749,0.1,0.1,-4999.551275
14,0.07,0.07,1.05642e-05,20.4575,20.6187,10.5841,0.1,0.595704,0.1,0.1,-4820.307715
15,0.07,0.07,1.06042e-05,20.5284,20.6187,10.5841,0.1,0.595393,0.1,0.1,-4728.453210
16,0.07,0.07,1.06042e-05,20.5469,20.6187,10.4245,0.1,0.595286,0.1,0.1,-4494.987396
17,0.07,0.07,1.06466e-05,20.5469,20.6209,10.0963,0.1,0.594707,0.1,0.1,-4031.330240
18,0.07,0.07,1.07308e-05,20.5469,20.6209,10.0963,0.1,0.593709,0.1,0.1,-4018.115217
19,0.07,0.07,1.07932e-05,20.5469,20.7745,10.0963,0.1,0.593525,0.1,0.1,-3945.364150
20,0.07,0.07,1.07932e-05,20.5469,20.7745,9.87912,0.1,0.593709,0.1,0.1,-3655.593078
21,0.07,0.07,1.09462e-05,20.628,20.7628,9.87912,0.1,0.593369,0.1,0.1,-3574.330136
22,0.07,0.07,1.09803e-05,20.7691,20.7876,9.87912,0.1,0.593011,0.1,0.1,-3455.799251
23,0.07,0.07,1.09803e-05,20.7691,20.8427,9.6381,0.1,0.593415,0.1,0.1,-3174.682629
24,0.07,0.07,1.09803e-05,20.7691,20.8427,9.6381,0.1,0.593373,0.1,0.1,-3174.553860
25,0.07,0.07,1.09803e-05,20.7691,20.9364,9.6381,0.1,0.593938,0.1,0.1,-3127.170457
26,0.07,0.07,1.0999e-05,20.82,20.9364,9.6381,0.1,0.594512,0.1,0.1,-3106.536528
27,0.07,0.07,1.0997e-05,20.82,20.9364,9.59853,0.1,0.593687,0.1,0.1,-3070.135309
28,0.07,0.07,1.0997e-05,20.8506,20.9724,9.59853,0.1,0.593686,0.1,0.1,-3043.309422
29,0.07,0.07,1.0997e-05,20.8506,20.9724,9.55151,0.1,0.593223,0.1,0.1,-3007.498395
30,0.07,0.07,1.09709e-05,20.6931,20.9724,9.30567,0.1,0.593223,0.1,0.1,-2887.642928
31,0.07,0.07,1.09092e-05,20.7279,20.9737,9.30567,0.1,0.593748,0.1,0.1,-2889.511323
32,0.07,0.07,1.07955e-05,20.7279,20.9737,9.25155,0.1,0.59409,0.1,0.1,-2875.233355
33,0.07,0.07,1.07502e-05,20.7363,21.1215,9.25155,0.1,0.59433,0.1,0.1,-2820.105963
34,0.07,0.07,1.06774e-05,20.599,21.1215,9.25155,0.1,0.594422,0.1,0.1,-2819.225686
35,0.07,0.07,1.06774e-05,20.599,21.2579,9.17457,0.1,0.594284,0.1,0.1,-2732.755118
36,0.07,0.07,1.07178e-05,20.5282,21.2579,9.07016,0.1,0.593831,0.1,0.1,-2699.750238
37,0.07,0.07,1.05835e-05,20.4693,21.2861,9.07016,0.1,0.593435,0.1,0.1,-2685.065506
38,0.07,0.07,1.05711e-05,20.4693,21.2861,8.95499,0.1,0.592932,0.1,0.1,-2671.320636
39,0.07,0.07,1.05711e-05,20.3674,21.2861,8.89782,0.1,0.592932,0.1,0.1,-2644.642401
40,0.07,0.07,1.05711e-05,20.3041,21.3274,8.89782,0.1,0.59351,0.1,0.1,-2623.229690
41,0.07,0.07,1.06494e-05,20.2983,21.4504,8.89782,0.1,0.592707,0.1,0.1,-2588.176811
42,0.07,0.07,1.07502e-05,20.2983,21.5464,8.89782,0.1,0.594167,0.1,0.1,-2561.936638
43,0.07,0.07,1.07502e-05,20.2657,21.5464,8.89782,0.1,0.593576,0.1,0.1,-2563.650095
44,0.07,0.07,1.0717e-05,20.1922,21.7733,8.77757,0.1,0.593585,0.1,0.1,-2472.627553
45,0.07,0.07,1.06733e-05,20.1922,21.7717,8.77757,0.1,0.593637,0.1,0.1,-2472.755080
46,0.07,0.07,1.06811e-05,20.1459,21.7717,8.77757,0.1,0.593547,0.1,0.1,-2467.460816
47,0.07,0.07,1.0642e-05,20.1459,21.7717,8.77757,0.1,0.593327,0.1,0.1,-2467.584046
48,0.07,0.07,1.06952e-05,20.1459,21.7717,8.77757,0.1,0.593327,0.1,0.1,-2467.277154
49,0.07,0.07,1.07415e-05,20.1459,21.8445,8.77757,0.1,0.593247,0.1,0.1,-2448.917618
50,0.07,0.07,1.06888e-05,20.1459,21.8445,8.77757,0.1,0.593247,0.1,0.1,-2449.051844
51,0.07,0.07,1.06888e-05,20.1459,21.8445,8.77757,0.1,0.593247,0.1,0.1,-2449.051844
52,0.07,0.07,1.08023e-05,20.1067,21.9854,8.77757,0.1,0.593909,0.1,0.1,-2414.849997
53,0.07,0.07,1.08023e-05,20.1067,21.9854,8.77757,0.1,0.593909,0.1,0.1,-2414.849997
54,0.07,0.07,1.07873e-05,20.1067,22.0166,8.73801,0.1,0.593909,0.1,0.1,-2404.235762
55,0.07,0.07,1.08443e-05,20.0754,22.0732,8.73801,0.1,0.593772,0.1,0.1,-2390.208725
56,0.07,0.07,1.07847e-05,20.0754,22.0732,8.73801,0.1,0.594033,0.1,0.1,-2390.300931
57,0.07,0.07,1.07664e-05,20.0754,22.0732,8.73801,0.1,0.595009,0.1,0.1,-2390.824195
58,0.07,0.07,1.07571e-05,20.0754,22.1,8.73801,0.1,0.595072,0.1,0.1,-2385.542516
59,0.07,0.07,1.06771e-05,20.0584,22.1,8.71141,0.1,0.595072,0.1,0.1,-2382.196837
60,0.07,0.07,1.08148e-05,20.0584,22.2308,8.71141,0.1,0.59539,0.1,0.1,-2359.157219
61,0.07,0.07,1.0849e-05,20.0584,22.2308,8.71141,0.1,0.595949,0.1,0.1,-2359.635658
62,0.07,0.07,1.0849e-05,20.0584,22.2308,8.71141,0.1,0.59536,0.1,0.1,-2359.411207
63,0.07,0.07,1.07493e-05,20.0584,22.2308,8.71141,0.1,0.594391,0.1,0.1,-2358.333691
64,0.07,0.07,1.07493e-05,20.0584,22.2308,8.71141,0.1,0.594294,0.1,0.1,-2358.297118
65,0.07,0.07,1.08031e-05,20.0579,22.3223,8.71141,0.1,0.594707,0.1,0.1,-2342.919274
66,0.07,0.07,1.07793e-05,20.0579,22.3223,8.71141,0.1,0.594885,0.1,0.1,-2342.793038
67,0.07,0.07,1.07642e-05,20.0535,22.3223,8.71141,0.1,0.595005,0.1,0.1,-2342.287434
68,0.07,0.07,1.07642e-05,20.0535,22.3223,8.71141,0.1,0.594994,0.1,0.1,-2342.283081
69,0.07,0.07,1.0701e-05,20.0535,22.3993,8.66251,0.1,0.596005,0.1,0.1,-2328.913910
70,0.07,0.07,1.0701e-05,20.0535,22.5513,8.66251,0.1,0.596694,0.1,0.1,-2295.254173
71,0.07,0.07,1.06992e-05,19.9293,22.5513,8.66251,0.1,0.596694,0.1,0.1,-2290.613399
72,0.07,0.07,1.06992e-05,19.9415,22.5513,8.66251,0.1,0.596298,0.1,0.1,-2288.679658
73,0.07,0.07,1.06992e-05,19.9415,22.5513,8.66251,0.1,0.595425,0.1,0.1,-2288.357386
74,0.07,0.07,1.07584e-05,19.9415,22.5513,8.66251,0.1,0.594902,0.1,0.1,-2287.470594
75,0.07,0.07,1.07877e-05,19.9415,22.5653,8.66251,0.1,0.595181,0.1,0.1,-2283.349999
76,0.07,0.07,1.08252e-05,19.8587,22.6394,8.5394,0.1,0.595834,0.1,0.1,-2234.375127
77,0.07,0.07,1.08607e-05,19.815,22.6394,8.5394,0.1,0.595429,0.1,0.1,-2234.289613
78,0.07,0.07,1.09672e-05,19.813,22.6954,8.5394,0.1,0.595778,0.1,0.1,-2219.309626
79,0.07,0.07,1.11069e-05,19.813,22.7054,8.5394,0.1,0.596618,0.1,0.1,-2215.608730
80,0.07,0.07,1.11667e-05,19.813,22.7197,8.53603,0.1,0.596649,0.1,0.1,-2211.426066
81,0.07,0.07,1.11794e-05,19.813,22.8627,8.53603,0.1,0.596491,0.1,0.1,-2179.532255
82,0.07,0.07,1.11824e-05,19.813,22.88,8.53603,0.1,0.596358,0.1,0.1,-2175.932857
83,0.07,0.07,1.122e-05,19.813,22.88,8.52942,0.1,0.597453,0.1,0.1,-2175.363004
84,0.07,0.07,1.122e-05,19.813,23.0568,8.52942,0.1,0.596958,0.1,0.1,-2141.189741
85,0.07,0.07,1.12814e-05,19.8065,23.1788,8.52942,0.1,0.59779,0.1,0.1,-2118.601631
86,0.07,0.07,1.11182e-05,19.8121,23.3105,8.52942,0.1,0.598636,0.1,0.1,-2094.245245
87,0.07,0.07,1.11417e-05,19.7939,23.3503,8.52839,0.1,0.59971,0.1,0.1,-2086.346325
88,0.07,0.07,1.10846e-05,19.7939,23.3503,8.52839,0.1,0.600006,0.1,0.1,-2086.193693
89,0.07,0.07,1.1168e-05,19.7939,23.3503,8.52839,0.1,0.599496,0.1,0.1,-2086.447859
90,0.07,0.07,1.12677e-05,19.7939,23.3715,8.52839,0.1,0.598849,0.1,0.1,-2083.391043
91,0.07,0.07,1.13101e-05,19.7939,23.3715,8.52839,0.1,0.599853,0.1,0.1,-2081.252563
92,0.07,0.07,1.13929e-05,19.7939,23.3715,8.52839,0.1,0.600047,0.1,0.1,-2081.962128
93,0.07,0.07,1.13929e-05,19.7529,23.3715,8.51956,0.1,0.599965,0.1,0.1,-2079.504951
94,0.07,0.07,1.13889e-05,19.7529,23.3715,8.51956,0.1,0.600748,0.1,0.1,-2080.266275
95,0.07,0.07,1.14486e-05,19.7529,23.3782,8.51956,0.1,0.599736,0.1,0.1,-2078.432058
96,0.07,0.07,1.14486e-05,19.7529,23.3782,8.51956,0.1,0.599549,0.1,0.1,-2078.422632
97,0.07,0.07,1.15138e-05,19.745,23.4643,8.49072,0.1,0.599549,0.1,0.1,-2054.159189
98,0.07,0.07,1.14446e-05,19.7228,23.6422,8.49072,0.1,0.599716,0.1,0.1,-2006.794524
99,0.07,0.07,1.13206e-05,19.7228,23.7611,8.37428,0.1,0.601026,0.1,0.1,-1968.568775
100,0.07,0.07,1.11776e-05,19.7228,23.7611,8.37428,0.1,0.601784,0.1,0.1,-1964.447965
101,0.07,0.07,1.11776e-05,19.7228,23.7611,8.37428,0.1,0.601867,0.1,0.1,-1964.364463
102,0.07,0.07,1.11207e-05,19.7228,23.8269,8.37428,0.1,0.60195,0.1,0.1,-1945.075215
103,0.07,0.07,1.10774e-05,19.7,23.8776,8.37428,0.1,0.601864,0.1,0.1,-1922.856257
104,0.07,0.07,1.11485e-05,19.7,23.8776,8.37428,0.1,0.602083,0.1,0.1,-1923.700221
105,0.07,0.07,1.10089e-05,19.7,23.8776,8.37428,0.1,0.600656,0.1,0.1,-1922.956026
106,0.07,0.07,1.10089e-05,19.5807,23.8776,8.37428,0.1,0.602547,0.1,0.1,-1922.405009
107,0.07,0.07,1.10089e-05,19.5807,23.8776,8.25125,0.1,0.602366,0.1,0.1,-1890.533494
108,0.07,0.07,1.10298e-05,19.553,23.8776,8.25125,0.1,0.602764,0.1,0.1,-1884.283528
109,0.07,0.07,1.10298e-05,19.553,23.9703,8.25125,0.1,0.603457,0.1,0.1,-1850.642612
110,0.07,0.07,1.1097e-05,19.553,23.971,8.25125,0.1,0.604497,0.1,0.1,-1848.471625
111,0.07,0.07,1.1132e-05,19.553,24.0111,8.25125,0.1,0.604386,0.1,0.1,-1834.954292
112,0.07,0.07,1.118e-05,19.553,24.0111,8.25125,0.1,0.604289,0.1,0.1,-1834.772140
113,0.07,0.07,1.11622e-05,19.553,24.0248,8.25125,0.1,0.603616,0.1,0.1,-1831.200269
114,0.07,0.07,1.12139e-05,19.541,24.0248,8.25125,0.1,0.603465,0.1,0.1,-1829.056722
115,0.07,0.07,1.12139e-05,19.541,24.0248,8.25125,0.1,0.603522,0.1,0.1,-1828.991029
116,0.07,0.07,1.12727e-05,19.541,24.0674,8.25125,0.1,0.602847,0.1,0.1,-1815.810249
117,0.07,0.07,1.1297e-05,19.4758,24.188,8.25125,0.1,0.602847,0.1,0.1,-1771.063476
118,0.07,0.07,1.13293e-05,19.4734,24.2819,8.21246,0.1,0.602847,0.1,0.1,-1709.397806
119,0.07,0.07,1.12826e-05,19.4734,24.3289,8.12021,0.1,0.602882,0.1,0.1,-1663.050999
120,0.07,0.07,1.13271e-05,19.4734,24.3347,8.12021,0.1,0.602846,0.1,0.1,-1659.359386
121,0.07,0.07,1.12039e-05,19.4734,24.5166,8.12021,0.1,0.603082,0.1,0.1,-1563.445146
122,0.07,0.07,1.12039e-05,19.4734,24.5166,8.12021,0.1,0.603566,0.1,0.1,-1562.067358
123,0.07,0.07,1.11155e-05,19.4106,24.6221,8.04892,0.1,0.6044,0.1,0.1,-1482.694246
124,0.07,0.07,1.11155e-05,19.3723,24.6221,8.04892,0.1,0.6044,0.1,0.1,-1468.372115
125,0.07,0.07,1.1162e-05,19.3723,24.6221,8.04892,0.1,0.604078,0.1,0.1,-1468.498579
126,0.07,0.07,1.12301e-05,19.3723,24.6221,8.0028,0.1,0.604078,0.1,0.1,-1469.571146
127,0.07,0.07,1.12351e-05,19.3723,24.728,8.0028,0.1,0.604078,0.1,0.1,-1427.265588
128,0.07,0.07,1.12048e-05,19.3723,24.7736,8.0028,0.1,0.604509,0.1,0.1,-1406.362242
129,0.07,0.07,1.12598e-05,19.2792,24.8267,7.92486,0.1,0.605187,0.1,0.1,-1353.314722
130,0.07,0.07,1.10833e-05,19.2475,24.8267,7.89721,0.1,0.605187,0.1,0.1,-1342.865301
131,0.07,0.07,1.10833e-05,19.2475,24.8872,7.89721,0.1,0.605305,0.1,0.1,-1323.101297
132,0.07,0.07,1.10129e-05,19.2475,24.8872,7.89721,0.1,0.605305,0.1,0.1,-1322.672632
133,0.07,0.07,1.10129e-05,19.2351,24.8872,7.89721,0.1,0.605137,0.1,0.1,-1319.091673
134,0.07,0.07,1.10098e-05,19.2351,24.9488,7.89721,0.1,0.605099,0.1,0.1,-1300.360238
135,0.07,0.07,1.09694e-05,19.2351,25.0256,7.89721,0.1,0.605099,0.1,0.1,-1278.571313
136,0.07,0.07,1.09653e-05,19.2351,25.0256,7.89721,0.1,0.605099,0.1,0.1,-1278.584099
137,0.07,0.07,1.10077e-05,19.2351,25.1139,7.89721,0.1,0.606837,0.1,0.1,-1252.866002
138,0.07,0.07,1.08332e-05,19.201,25.3375,7.89721,0.1,0.606837,0.1,0.1,-1202.929041
139,0.07,0.07,1.08083e-05,19.2047,25.3392,7.89721,0.1,0.606699,0.1,0.1,-1202.578010
140,0.07,0.07,1.08083e-05,19.2047,25.3392,7.89721,0.1,0.607305,0.1,0.1,-1201.105205
141,0.07,0.07,1.08083e-05,19.2047,25.3599,7.89721,0.1,0.607305,0.1,0.1,-1197.741904
142,0.07,0.07,1.08258e-05,19.1841,25.3988,7.89721,0.1,0.607196,0.1,0.1,-1194.307135
143,0.07,0.07,1.07368e-05,19.1841,25.3907,7.89721,0.1,0.607612,0.1,0.1,-1194.265333
144,0.07,0.07,1.08278e-05,19.1841,25.3907,7.89721,0.1,0.608514,0.1,0.1,-1192.466274
145,0.07,0.07,1.08278e-05,19.1841,25.3907,7.89721,0.1,0.608514,0.1,0.1,-1192.466274
146,0.07,0.07,1.0824e-05,19.1841,25.3907,7.89721,0.1,0.608514,0.1,0.1,-1192.454964
147,0.07,0.07,1.08096e-05,19.1841,25.3856,7.89721,0.1,0.608647,0.1,0.1,-1192.872580
