"date","NJ__FluTrends__inc"
"2012-01-01",2510
"2012-01-08",2136
"2012-01-15",2006
"2012-01-22",1962
"2012-01-29",1971
"2012-02-05",1716
"2012-02-12",1635
"2012-02-19",1600
"2012-02-26",1453
"2012-03-04",1514
"2012-03-11",1431
"2012-03-18",1314
"2012-03-25",1310
"2012-04-01",1365
"2012-04-08",1535
"2012-04-15",1620
"2012-04-22",1488
"2012-04-29",1432
"2012-05-06",1428
"2012-05-13",1367
"2012-05-20",1197
"2012-05-27",1081
"2012-06-03",1028
"2012-06-10",1028
"2012-06-17",814
"2012-06-24",702
"2012-07-01",699
"2012-07-08",680
"2012-07-15",621
"2012-07-22",568
"2012-07-29",611
"2012-08-05",638
"2012-08-12",722
"2012-08-19",747
"2012-08-26",824
"2012-09-02",824
"2012-09-09",979
"2012-09-16",1366
"2012-09-23",1645
"2012-09-30",1795
"2012-10-07",1921
"2012-10-14",1940
"2012-10-21",1737
"2012-10-28",1162
"2012-11-04",1498
"2012-11-11",1849
"2012-11-18",1869
"2012-11-25",2529
"2012-12-02",3313
"2012-12-09",4032
"2012-12-16",5092
"2012-12-23",8181
"2012-12-30",10972
"2013-01-06",17400
"2013-01-13",20896
"2013-01-20",13573
"2013-01-27",9349
"2013-02-03",6909
"2013-02-10",5290
"2013-02-17",4746
"2013-02-24",4206
"2013-03-03",3754
"2013-03-10",3518
"2013-03-17",2843
"2013-03-24",2545
"2013-03-31",2210
"2013-04-07",1801
"2013-04-14",1287
"2013-04-21",1328
"2013-04-28",1094
"2013-05-05",1091
"2013-05-12",1056
