time,low95:S:city1__all,S:city1__all,high95:S:city1__all,low95:S:city2__all,S:city2__all,high95:S:city2__all,low95:I:city1__all,I:city1__all,high95:I:city1__all,low95:I:city2__all,I:city2__all,high95:I:city2__all,low95:all__CDC__inc,all__CDC__inc,high95:all__CDC__inc,low95:all__google__inc,all__google__inc,high95:all__google__inc,low95:city2__CDC__inc,city2__CDC__inc,high95:city2__CDC__inc,low95:city1__CDC__prev,city1__CDC__prev,high95:city1__CDC__prev
1,70210.6,70244.5,70278.4,70203.6,70237.2,70270.9,4.48711,9.75273,15.0183,10.9928,16.4879,21.9829,6.32438,8.51782,10.7113,6.32438,8.51782,10.7113,5.45349,8.30656,11.1596,2.69227,5.85164,9.01101
2,70432,70479.9,70527.7,70410.8,70458.6,70506.5,11.572,17.0832,22.5945,23.1895,31.6435,40.0975,11.0165,13.8354,16.6542,11.0165,13.8354,16.6542,12.974,17.0633,21.1526,6.9432,10.2499,13.5567
3,70652.5,70713.3,70774,70614,70677.1,70740.2,7.49475,22.1973,36.8998,19.8957,41.1014,62.3072,13.7214,21.2694,28.8173,13.7214,21.2694,28.8173,6.46801,19.4864,32.5048,4.49685,13.3184,22.1399
4,70865.2,70941.2,71017.3,70801.1,70885.6,70970.1,4.66698,28.9271,53.1872,18.7097,53.5317,88.3537,14.3565,27.6707,40.9848,14.3565,27.6707,40.9848,6.1735,25.4236,44.6737,2.80019,17.3562,31.9123
5,71064.2,71162.1,71260,70963.5,71081,71198.6,1.67638,37.8052,73.9339,18.0456,69.9009,121.756,15.793,36.0971,56.4012,15.793,36.0971,56.4012,5.88955,33.2521,60.6146,1.00583,22.6831,44.3604
6,71242.7,71373.5,71504.3,71091.1,71259.2,71427.2,-1.95245,49.5442,101.041,17.5052,91.4933,165.481,17.9193,47.212,76.5048,17.9193,47.212,76.5048,5.52782,43.5894,81.6509,-1.17147,29.7265,60.6245
7,71392.6,71572.3,71752.1,71172.6,71414.5,71656.4,-6.6205,65.0984,136.817,16.8674,120.011,223.154,20.8117,61.8982,102.985,20.8117,61.8982,102.985,5.00968,57.2528,109.496,-3.9723,39.0591,82.0904
8,70601.5,70790.9,70980.3,67173.7,67393.4,67613.1,403.735,472.999,542.263,1827.35,1914.24,2001.13,797.243,815.283,833.324,797.243,815.283,833.324,912.393,956.29,1000.19,242.241,283.799,325.358
9,70684.2,70909,71133.8,62785.8,63215.9,63646,306.305,406.226,506.147,3882.04,4179.35,4476.67,1328.24,1399.66,1471.09,1328.24,1399.66,1471.09,2302.65,2519.15,2735.66,183.783,243.736,303.688
10,70818.7,71057.9,71297.2,55947.4,56737.6,57527.8,248.459,343.472,438.484,6504.72,7044.66,7584.61,2243.01,2392.33,2541.66,2243.01,2392.33,2541.66,3403.65,3788.49,4173.33,149.075,206.083,263.091
11,70820.3,71065,71309.7,46437.2,47652.9,48868.5,299.411,383.05,466.69,9480,10248.9,11017.8,3457.75,3687.63,3917.51,3457.75,3687.63,3917.51,4532.37,5072.26,5612.15,179.646,229.83,280.014
12,70618.8,70879.3,71139.8,36592.5,38093.3,39594.1,431.715,520.043,608.372,11140.6,11984.7,12828.7,4504.27,4780.01,5055.76,4504.27,4780.01,5055.76,4446.54,5027.92,5609.29,259.029,312.026,365.023
13,69983.9,70274.7,70565.5,29724.4,31320.3,32916.2,768.593,879.223,989.854,10465.9,11191.9,11918,4593.49,4868.02,5142.56,4593.49,4868.02,5142.56,3367.49,3831.38,4295.26,461.156,527.534,593.912
14,69072.7,69433.5,69794.2,25934.2,27532.7,29131.2,1096.15,1267.95,1439.75,8103.44,8667.64,9231.83,4019.32,4252.77,4486.23,4019.32,4252.77,4486.23,1859.6,2195.25,2530.9,657.69,760.768,863.847
15,67771,68239.9,68708.8,23080.3,24648.6,26217,1479.48,1725.12,1970.75,6250.32,6671.74,7093.16,3381.41,3570.27,3759.12,3381.41,3570.27,3759.12,1401.13,1633.98,1866.83,887.689,1035.07,1182.45
16,66277.6,66872.7,67467.7,21673.1,23202.5,24731.9,1810.06,2126.17,2442.29,4354.84,4663.72,4972.61,2719.9,2879.94,3039.97,2719.9,2879.94,3039.97,782.939,939.575,1096.21,1086.04,1275.7,1465.37
17,63740.5,64460.7,65180.8,20858.8,22351,23843.2,2668.89,3044.38,3419.87,2949.73,3176.46,3403.18,2333.87,2480.08,2626.28,2333.87,2480.08,2626.28,495.726,601.487,707.248,1601.33,1826.63,2051.92
