index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
0,0.07,0.07,1.00602e-05,20.2414,20.2414,10.5687,0.1,0.601439,0.1,0.1,-5228.894534
1,0.07,0.07,1.00602e-05,20.2414,20.2414,10.5687,0.1,0.601439,0.1,0.1,-5228.894534
2,0.07,0.07,1.00602e-05,20.2414,20.2414,10.5687,0.1,0.601439,0.1,0.1,-5228.894534
3,0.07,0.07,9.92842e-06,20.767,20.767,10.4945,0.1,0.599677,0.1,0.1,-4380.603242
4,0.07,0.07,9.92842e-06,20.767,20.767,10.4945,0.1,0.599677,0.1,0.1,-4380.603242
5,0.07,0.07,1.01198e-05,20.6565,21.1413,9.89991,0.1,0.599277,0.1,0.1,-3498.859313
6,0.07,0.07,1.01198e-05,20.6565,21.1413,9.89991,0.1,0.599277,0.1,0.1,-3498.859313
7,0.07,0.07,9.94179e-06,21.3073,21.2216,9.42294,0.1,0.601407,0.1,0.1,-3025.205553
8,0.07,0.07,9.94179e-06,21.3073,21.2216,9.42294,0.1,0.601407,0.1,0.1,-3025.205553
9,0.07,0.07,9.94324e-06,21.2429,21.9595,9.33376,0.1,0.600914,0.1,0.1,-2799.934070
10,0.07,0.07,9.94324e-06,21.2429,21.9595,9.33376,0.1,0.600914,0.1,0.1,-2799.934070
11,0.07,0.07,9.94324e-06,21.2429,21.9595,9.33376,0.1,0.600914,0.1,0.1,-2799.934070
12,0.07,0.07,9.94324e-06,21.2429,21.9595,9.33376,0.1,0.600914,0.1,0.1,-2799.934070
13,0.07,0.07,9.94324e-06,21.2429,21.9595,9.33376,0.1,0.600914,0.1,0.1,-2799.934070
14,0.07,0.07,1.00426e-05,20.5094,21.5359,9.2375,0.1,0.60388,0.1,0.1,-2719.945066
15,0.07,0.07,1.00426e-05,20.5094,21.5359,9.2375,0.1,0.60388,0.1,0.1,-2719.945066
16,0.07,0.07,1.0083e-05,20.7152,21.8496,9.46194,0.1,0.601303,0.1,0.1,-2699.600979
17,0.07,0.07,9.98538e-06,20.9446,21.9793,9.1239,0.1,0.603225,0.1,0.1,-2699.342513
18,0.07,0.07,1.0033e-05,20.4327,22.6777,8.71504,0.1,0.60471,0.1,0.1,-2488.543086
19,0.07,0.07,1.00149e-05,19.9813,22.948,8.81117,0.1,0.606055,0.1,0.1,-2287.102068
20,0.07,0.07,1.00149e-05,19.9813,22.948,8.81117,0.1,0.606055,0.1,0.1,-2287.102068
21,0.07,0.07,1.00568e-05,20.1009,24.1443,8.48438,0.1,0.605471,0.1,0.1,-2060.350969
22,0.07,0.07,1.00568e-05,20.1009,24.1443,8.48438,0.1,0.605471,0.1,0.1,-2060.350969
23,0.07,0.07,1.01057e-05,19.1416,24.4842,8.08934,0.1,0.60963,0.1,0.1,-1789.013066
24,0.07,0.07,1.01057e-05,19.1416,24.4842,8.08934,0.1,0.60963,0.1,0.1,-1789.013066
25,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
26,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
27,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
28,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
29,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
30,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
31,0.07,0.07,1.0024e-05,19.1735,25.4956,7.95106,0.1,0.610322,0.1,0.1,-1217.043917
32,0.07,0.07,1.00454e-05,19.3302,26.3297,7.83897,0.1,0.609008,0.1,0.1,-1207.828948
33,0.07,0.07,1.00706e-05,19.3883,25.4509,7.99623,0.1,0.608851,0.1,0.1,-1175.181398
34,0.07,0.07,1.00706e-05,19.3883,25.4509,7.99623,0.1,0.608851,0.1,0.1,-1175.181398
35,0.07,0.07,1.00706e-05,19.3883,25.4509,7.99623,0.1,0.608851,0.1,0.1,-1175.181398
36,0.07,0.07,1.00629e-05,19.2415,25.8533,7.82782,0.1,0.609829,0.1,0.1,-1151.053623
37,0.07,0.07,1.00895e-05,19.2993,26.0263,7.86516,0.1,0.608853,0.1,0.1,-1148.751244
38,0.07,0.07,1.00609e-05,19.2906,26.0576,7.86891,0.1,0.60916,0.1,0.1,-1140.716289
39,0.07,0.07,1.00609e-05,19.2906,26.0576,7.86891,0.1,0.60916,0.1,0.1,-1140.716289
40,0.07,0.07,1.00672e-05,19.2597,25.6818,7.92142,0.1,0.609297,0.1,0.1,-1138.211502
41,0.07,0.07,1.00717e-05,19.3222,25.6808,7.93383,0.1,0.609083,0.1,0.1,-1136.824031
42,0.07,0.07,1.0098e-05,19.3343,25.928,8.0254,0.1,0.607837,0.1,0.1,-1106.857076
43,0.07,0.07,1.0098e-05,19.3343,25.928,8.0254,0.1,0.607837,0.1,0.1,-1106.857076
44,0.07,0.07,1.0098e-05,19.3343,25.928,8.0254,0.1,0.607837,0.1,0.1,-1106.857076
45,0.07,0.07,1.0098e-05,19.3343,25.928,8.0254,0.1,0.607837,0.1,0.1,-1106.857076
46,0.07,0.07,1.0098e-05,19.3343,25.928,8.0254,0.1,0.607837,0.1,0.1,-1106.857076
47,0.07,0.07,1.01013e-05,19.4018,26.3958,8.00503,0.1,0.606947,0.1,0.1,-1100.736370
48,0.07,0.07,1.01013e-05,19.4018,26.3958,8.00503,0.1,0.606947,0.1,0.1,-1100.736370
49,0.07,0.07,1.01134e-05,19.462,26.4699,8.12801,0.1,0.605913,0.1,0.1,-1060.246176
50,0.07,0.07,1.01134e-05,19.462,26.4699,8.12801,0.1,0.605913,0.1,0.1,-1060.246176
51,0.07,0.07,1.01134e-05,19.462,26.4699,8.12801,0.1,0.605913,0.1,0.1,-1060.246176
52,0.07,0.07,1.01327e-05,19.4679,26.5966,8.20105,0.1,0.604958,0.1,0.1,-1058.391617
53,0.07,0.07,1.01375e-05,19.5929,26.9621,8.22205,0.1,0.603881,0.1,0.1,-1055.042027
54,0.07,0.07,1.01725e-05,19.702,26.8688,8.49991,0.1,0.60184,0.1,0.1,-1024.992866
55,0.07,0.07,1.01725e-05,19.702,26.8688,8.49991,0.1,0.60184,0.1,0.1,-1024.992866
56,0.07,0.07,1.0138e-05,19.7586,26.9567,8.50718,0.1,0.601638,0.1,0.1,-999.448398
57,0.07,0.07,1.01953e-05,19.9123,27.3671,8.73079,0.1,0.598627,0.1,0.1,-990.079210
58,0.07,0.07,1.01942e-05,20.1716,27.5756,8.90417,0.1,0.596738,0.1,0.1,-948.680061
59,0.07,0.07,1.01942e-05,20.1716,27.5756,8.90417,0.1,0.596738,0.1,0.1,-948.680061
60,0.07,0.07,1.01942e-05,20.1716,27.5756,8.90417,0.1,0.596738,0.1,0.1,-948.680061
61,0.07,0.07,1.01927e-05,20.4303,28.3479,9.14594,0.1,0.593114,0.1,0.1,-917.061009
62,0.07,0.07,1.01927e-05,20.4303,28.3479,9.14594,0.1,0.593114,0.1,0.1,-917.061009
63,0.07,0.07,1.01927e-05,20.4303,28.3479,9.14594,0.1,0.593114,0.1,0.1,-917.061009
64,0.07,0.07,1.01927e-05,20.4303,28.3479,9.14594,0.1,0.593114,0.1,0.1,-917.061009
65,0.07,0.07,1.02334e-05,20.9061,28.9342,9.64666,0.1,0.587808,0.1,0.1,-915.228753
66,0.07,0.07,1.02307e-05,20.7612,28.8195,9.42616,0.1,0.589721,0.1,0.1,-909.265398
67,0.07,0.07,1.02307e-05,20.7612,28.8195,9.42616,0.1,0.589721,0.1,0.1,-909.265398
68,0.07,0.07,1.02307e-05,20.7612,28.8195,9.42616,0.1,0.589721,0.1,0.1,-909.265398
69,0.07,0.07,1.02307e-05,20.7612,28.8195,9.42616,0.1,0.589721,0.1,0.1,-909.265398
70,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
71,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
72,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
73,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
74,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
75,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
76,0.07,0.07,1.02441e-05,21.0564,29.4658,9.79255,0.1,0.585642,0.1,0.1,-903.927751
77,0.07,0.07,1.02293e-05,20.9608,29.2114,9.64089,0.1,0.587204,0.1,0.1,-903.716426
78,0.07,0.07,1.02293e-05,20.9608,29.2114,9.64089,0.1,0.587204,0.1,0.1,-903.716426
79,0.07,0.07,1.02293e-05,20.9608,29.2114,9.64089,0.1,0.587204,0.1,0.1,-903.716426
80,0.07,0.07,1.02293e-05,20.9608,29.2114,9.64089,0.1,0.587204,0.1,0.1,-903.716426
81,0.07,0.07,1.02689e-05,21.0083,29.5237,9.72797,0.1,0.585831,0.1,0.1,-902.258531
82,0.07,0.07,1.02689e-05,21.0083,29.5237,9.72797,0.1,0.585831,0.1,0.1,-902.258531
83,0.07,0.07,1.02419e-05,20.9433,29.3736,9.65386,0.1,0.586837,0.1,0.1,-901.784860
84,0.07,0.07,1.02419e-05,20.9433,29.3736,9.65386,0.1,0.586837,0.1,0.1,-901.784860
85,0.07,0.07,1.02419e-05,20.9433,29.3736,9.65386,0.1,0.586837,0.1,0.1,-901.784860
86,0.07,0.07,1.02419e-05,20.9433,29.3736,9.65386,0.1,0.586837,0.1,0.1,-901.784860
