"date","Paris__all"
"2000-01-03",11700000
"2000-01-10",11700000
"2000-01-18",11700000
"2000-01-24",11700000
"2000-01-31",11700000
"2000-02-07",11700000
"2000-02-14",11700000
"2000-02-22",11700000
"2000-02-28",11700000
"2000-03-06",11700000
"2000-03-13",11700000
"2000-03-20",11700000
"2000-03-27",11700000
"2000-04-03",11700000
"2000-04-10",11700000
"2000-04-17",11700000
"2000-04-24",11700000
"2000-05-01",11700000
"2000-05-08",11700000
"2000-05-15",11700000
"2000-05-22",11700000
"2000-05-30",11700000
"2000-06-05",11700000
"2000-06-12",11700000
"2000-06-19",11700000
"2000-06-26",11700000
"2000-07-03",11700000
"2000-07-10",11700000
"2000-07-17",11700000
"2000-07-24",11700000
"2000-07-31",11700000
"2000-08-07",11700000
"2000-08-14",11700000
"2000-08-21",11700000
"2000-08-28",11700000
"2000-09-05",11700000
"2000-09-11",11700000
"2000-09-18",11700000
"2000-09-25",11700000
"2000-10-02",11700000
"2000-10-09",11700000
"2000-10-16",11700000
"2000-10-23",11700000
"2000-10-30",11700000
"2000-11-06",11700000
"2000-11-13",11700000
"2000-11-20",11700000
"2000-11-27",11700000
"2000-12-04",11700000
"2000-12-11",11700000
"2000-12-18",11700000
"2000-12-26",11700000
"2001-01-02",11700000
"2001-01-08",11700000
"2001-01-16",11700000
"2001-01-22",11700000
"2001-01-29",11700000
"2001-02-05",11700000
"2001-02-12",11700000
"2001-02-20",11700000
"2001-02-26",11700000
"2001-03-05",11700000
"2001-03-12",11700000
"2001-03-19",11700000
"2001-03-26",11700000
"2001-04-02",11700000
"2001-04-09",11700000
"2001-04-16",11700000
"2001-04-23",11700000
"2001-04-30",11700000
"2001-05-07",11700000
"2001-05-14",11700000
"2001-05-21",11700000
"2001-05-29",11700000
"2001-06-04",11700000
"2001-06-11",11700000
"2001-06-18",11700000
"2001-06-25",11700000
"2001-07-02",11700000
"2001-07-09",11700000
"2001-07-16",11700000
"2001-07-23",11700000
"2001-07-30",11700000
"2001-08-06",11700000
"2001-08-13",11700000
"2001-08-20",11700000
"2001-08-27",11700000
"2001-09-04",11700000
"2001-09-10",11700000
"2001-09-24",11700000
"2001-10-01",11700000
"2001-10-08",11700000
"2001-10-15",11700000
"2001-10-22",11700000
"2001-10-29",11700000
"2001-11-05",11700000
"2001-11-12",11700000
"2001-11-19",11700000
"2001-11-26",11700000
"2001-12-03",11700000
"2001-12-10",11700000
"2001-12-17",11700000
"2001-12-24",11700000
"2001-12-31",11700000
"2002-01-07",11700000
"2002-01-14",11700000
"2002-01-22",11700000
"2002-01-28",11700000
"2002-02-04",11700000
"2002-02-11",11700000
"2002-02-19",11700000
"2002-02-25",11700000
"2002-03-04",11700000
"2002-03-11",11700000
"2002-03-18",11700000
"2002-03-25",11700000
"2002-04-01",11700000
"2002-04-08",11700000
"2002-04-15",11700000
"2002-04-22",11700000
"2002-04-29",11700000
"2002-05-06",11700000
"2002-05-13",11700000
"2002-05-20",11700000
"2002-05-28",11700000
"2002-06-03",11700000
"2002-06-10",11700000
"2002-06-17",11700000
"2002-06-24",11700000
"2002-07-01",11700000
"2002-07-08",11700000
"2002-07-15",11700000
"2002-07-22",11700000
"2002-07-29",11700000
