"date","Paris__Sentinelles__inc"
"2000-01-03",75722
"2000-01-10",71772
"2000-01-18",50079
"2000-01-24",35845
"2000-01-31",24940
"2000-02-07",11551
"2000-02-14",6157
"2000-02-22",2241
"2000-02-28",1064
"2000-03-06",2090
"2000-03-13",4631
"2000-03-20",705
"2000-03-27",554
"2000-04-03",864
"2000-04-10",0
"2000-04-17",345
"2000-04-24",0
"2000-05-01",7358
"2000-05-08",396
"2000-05-15",583
"2000-05-22",763
"2000-05-30",401
"2000-06-05",511
"2000-06-12",183
"2000-06-19",215
"2000-06-26",22
"2000-07-03",270
"2000-07-10",33
"2000-07-17",239
"2000-07-24",0
"2000-07-31",219
"2000-08-07",42
"2000-08-14",0
"2000-08-21",0
"2000-08-28",0
"2000-09-05",262
"2000-09-11",75
"2000-09-18",349
"2000-09-25",1051
"2000-10-02",473
"2000-10-09",2190
"2000-10-16",2516
"2000-10-23",1022
"2000-10-30",1565
"2000-11-06",3550
"2000-11-13",3289
"2000-11-20",6144
"2000-11-27",4973
"2000-12-04",7763
"2000-12-11",9641
"2000-12-18",8908
"2000-12-26",5558
"2001-01-02",3556
"2001-01-08",10012
"2001-01-16",14272
"2001-01-22",26550
"2001-01-29",34432
"2001-02-05",21566
"2001-02-12",13328
"2001-02-20",6360
"2001-02-26",10011
"2001-03-05",9362
"2001-03-12",13111
"2001-03-19",5932
"2001-03-26",8309
"2001-04-02",5522
"2001-04-09",3106
"2001-04-16",1246
"2001-04-23",2791
"2001-04-30",2336
"2001-05-07",107
"2001-05-14",0
"2001-05-21",850
"2001-05-29",449
"2001-06-04",285
"2001-06-11",744
"2001-06-18",140
"2001-06-25",45
"2001-07-02",1303
"2001-07-09",490
"2001-07-16",0
"2001-07-23",75
"2001-07-30",820
"2001-08-06",0
"2001-08-13",0
"2001-08-20",979
"2001-08-27",0
"2001-09-04",29
"2001-09-10",169
"2001-09-24",461
"2001-10-01",3510
"2001-10-08",1593
"2001-10-15",3386
"2001-10-22",1134
"2001-10-29",2144
"2001-11-05",1202
"2001-11-12",2405
"2001-11-19",2715
"2001-11-26",3719
"2001-12-03",5241
"2001-12-10",6458
"2001-12-17",5482
"2001-12-24",7091
"2001-12-31",7398
"2002-01-07",8460
"2002-01-14",29873
"2002-01-22",49727
"2002-01-28",55974
"2002-02-04",33020
"2002-02-11",17824
"2002-02-19",7782
"2002-02-25",4687
"2002-03-04",1690
"2002-03-11",2332
"2002-03-18",4110
"2002-03-25",1847
"2002-04-01",1558
"2002-04-08",3576
"2002-04-15",3209
"2002-04-22",1678
"2002-04-29",459
"2002-05-06",732
"2002-05-13",601
"2002-05-20",108
"2002-05-28",401
"2002-06-03",3167
"2002-06-10",3378
"2002-06-17",2984
"2002-06-24",1749
"2002-07-01",2928
"2002-07-08",576
"2002-07-15",370
"2002-07-22",0
"2002-07-29",0
"2002-08-05",0
"2002-08-12",0
"2002-08-19",140
"2002-08-26",92
"2002-09-03",0
"2002-09-09",0
"2002-09-16",109
"2002-09-23",929
"2002-09-30",651
"2002-10-07",590
"2002-10-14",2912
"2002-10-21",3657
"2002-10-28",2138
"2002-11-04",2692
"2002-11-11",1858
"2002-11-18",830
"2002-11-25",496
"2002-12-02",745
"2002-12-09",5221
"2002-12-16",4027
"2002-12-23",3033
"2002-12-30",674
"2003-01-06",1927
"2003-01-13",2498
"2003-01-21",4367
"2003-01-27",3368
"2003-02-03",6076
"2003-02-10",4296
"2003-02-18",4962
"2003-02-24",7698
"2003-03-03",11338
"2003-03-10",8163
"2003-03-17",9319
"2003-03-24",7021
"2003-03-31",10970
"2003-04-07",15951
"2003-04-14",1980
"2003-04-21",1353
"2003-04-28",4410
"2003-05-05",347
"2003-05-12",6062
"2003-05-19",694
"2003-05-27",1313
"2003-06-02",222
"2003-06-09",226
"2003-06-16",0
"2003-06-23",0
"2003-06-30",391
"2003-07-07",0
"2003-07-14",0
"2003-07-21",0
"2003-07-28",0
"2003-08-04",565
"2003-08-11",86
"2003-08-18",0
"2003-08-25",0
"2003-09-02",40
"2003-09-08",270
"2003-09-15",0
"2003-09-22",2327
"2003-09-29",7244
"2003-10-06",2997
"2003-10-13",2529
"2003-10-20",7672
"2003-10-27",47136
"2003-11-03",4653
"2003-11-10",7015
"2003-11-17",12743
"2003-11-24",32888
"2003-12-01",58585
"2003-12-08",91937
"2003-12-15",61449
"2003-12-22",48133
"2003-12-29",1789
"2004-01-05",7437
"2004-01-12",8340
"2004-01-20",9916
"2004-01-26",2969
"2004-02-02",1873
"2004-02-09",2806
"2004-02-17",2534
"2004-02-23",451
"2004-03-01",244
"2004-03-08",3126
"2004-03-15",2813
"2004-03-22",3788
"2004-03-29",1829
"2004-04-05",1438
"2004-04-12",1721
"2004-04-19",61
"2004-04-26",186
"2004-05-03",782
"2004-05-10",862
"2004-05-17",515
"2004-05-24",268
"2004-06-01",149
"2004-06-07",145
"2004-06-14",0
"2004-06-21",484
"2004-06-28",989
"2004-07-06",828
"2004-07-12",0
"2004-07-19",0
"2004-07-26",0
"2004-08-02",0
"2004-08-09",0
"2004-08-16",0
"2004-08-23",575
"2004-08-30",437
"2004-09-07",816
"2004-09-13",2115
"2004-09-20",2277
"2004-09-27",2876
"2004-10-04",9378
"2004-10-11",4189
"2004-10-18",5710
"2004-10-25",4865
